Average number of iterations: 264.593
Median of last 9 normalized drift values: 0.014350763807285546
0 => drift 0.026307636701605824, normalized 0.002192303058467152
1 => drift 0.043994661921708186, normalized 0.00399951472015529
2 => drift 0.06455437718200382, normalized 0.0064554377182003825
3 => drift 0.06869571459335296, normalized 0.007632857177039217
4 => drift 0.07709073296738779, normalized 0.009636341620923474
5 => drift 0.07423647972920994, normalized 0.010605211389887135
6 => drift 0.07225796908512684, normalized 0.01204299484752114
7 => drift 0.06774526678141136, normalized 0.013549053356282273
8 => drift 0.057403055229142186, normalized 0.014350763807285546
9 => drift 0.045567367583009416, normalized 0.015189122527669805
10 => drift 0.034849882887358935, normalized 0.017424941443679468
11 => drift 0.0183172869395492, normalized 0.0183172869395492
