Average number of iterations: 694.323
Median of last 9 normalized drift values: 0.008064974158005339
0 => drift 0.013309560282263128, normalized 5.323824112905252E-4
1 => drift 0.024149177185251575, normalized 0.001006215716052149
2 => drift 0.03536476868327402, normalized 0.0015375986384032181
3 => drift 0.04793720506471055, normalized 0.0021789638665777526
4 => drift 0.05245673257246959, normalized 0.002497939646308076
5 => drift 0.05642448208699758, normalized 0.002821224104349879
6 => drift 0.06494199226563542, normalized 0.00341799959292818
7 => drift 0.07084818246614398, normalized 0.003936010137007999
8 => drift 0.07001653367838401, normalized 0.004118619628140236
9 => drift 0.07168352171326592, normalized 0.00448022010707912
10 => drift 0.06971153846153846, normalized 0.004647435897435897
11 => drift 0.07273552094359595, normalized 0.005195394353113996
12 => drift 0.06895101955013665, normalized 0.005303924580779742
13 => drift 0.07461457865588984, normalized 0.006217881554657487
14 => drift 0.06977071318047545, normalized 0.00634279210731595
15 => drift 0.06426148225469729, normalized 0.006426148225469728
16 => drift 0.05925339504293283, normalized 0.00658371056032587
17 => drift 0.05558362809499747, normalized 0.006947953511874684
18 => drift 0.05068892688323444, normalized 0.007241275269033491
19 => drift 0.045908090129760624, normalized 0.007651348354960104
20 => drift 0.040336339263953205, normalized 0.008067267852790641
21 => drift 0.03202010640728531, normalized 0.008005026601821327
22 => drift 0.024194922474016018, normalized 0.008064974158005339
23 => drift 0.01737770593196514, normalized 0.00868885296598257
24 => drift 0.008278783211397767, normalized 0.008278783211397767
