Average number of iterations: 836.1
Median of last 9 normalized drift values: 0.00549408074918279
0 => drift 0.09199741691917937, normalized 0.0018399483383835873
1 => drift 0.16978756884343038, normalized 0.0034650524253761303
2 => drift 0.27149220489977727, normalized 0.005656087602078693
3 => drift 0.320374370050396, normalized 0.006816475958519063
4 => drift 0.345841784989858, normalized 0.007518299673692565
5 => drift 0.3614353653264159, normalized 0.008031897007253687
6 => drift 0.41642399534071056, normalized 0.009464181712288876
7 => drift 0.4304190377651319, normalized 0.010009745064305393
8 => drift 0.5505698005698005, normalized 0.013108804775471442
9 => drift 0.4213421342134213, normalized 0.010276637419839545
10 => drift 0.41031518624641833, normalized 0.010257879656160459
11 => drift 0.49, normalized 0.012564102564102564
12 => drift 0.37886748394629305, normalized 0.00997019694595508
13 => drift 0.4565508021390374, normalized 0.012339210868622634
14 => drift 0.41236559139784945, normalized 0.011454599761051374
15 => drift 0.446204259967231, normalized 0.012748693141920887
16 => drift 0.3852040816326531, normalized 0.01132953181272509
17 => drift 0.3972321886212199, normalized 0.012037339049127876
18 => drift 0.39473684210526316, normalized 0.012335526315789474
19 => drift 0.31928757602085145, normalized 0.01029959922647908
20 => drift 0.410706450197455, normalized 0.013690215006581833
21 => drift 0.34612277867528274, normalized 0.011935268230182164
22 => drift 0.3318106312292359, normalized 0.011850379686758424
23 => drift 0.31654676258992803, normalized 0.011723954169997334
24 => drift 0.3133674214755296, normalized 0.012052593133674214
25 => drift 0.24984653161448742, normalized 0.009993861264579497
26 => drift 0.24726540011514106, normalized 0.010302725004797545
27 => drift 0.2551312029098467, normalized 0.011092660996080292
28 => drift 0.23471200202994164, normalized 0.010668727364997348
29 => drift 0.22015466408893186, normalized 0.010483555432806279
30 => drift 0.1871153057037341, normalized 0.009355765285186706
31 => drift 0.18186915887850466, normalized 0.009572060993605509
32 => drift 0.17229907196638067, normalized 0.009572170664798926
33 => drift 0.15426555484284799, normalized 0.00907444440252047
34 => drift 0.13637648388920293, normalized 0.008523530243075183
35 => drift 0.12815126050420167, normalized 0.008543417366946778
36 => drift 0.1124521295114309, normalized 0.008032294965102207
37 => drift 0.1051837482487337, normalized 0.0080910575575949
38 => drift 0.09196370100102909, normalized 0.007663641750085757
39 => drift 0.07695374800637958, normalized 0.0069957952733072344
40 => drift 0.06469585736759308, normalized 0.006469585736759308
41 => drift 0.06287010205367267, normalized 0.00698556689485252
42 => drift 0.04840776890466331, normalized 0.006050971113082914
43 => drift 0.04097374860034007, normalized 0.005853392657191438
44 => drift 0.03296448449509674, normalized 0.00549408074918279
45 => drift 0.025209223760653137, normalized 0.005041844752130627
46 => drift 0.01865364466397246, normalized 0.004663411165993115
47 => drift 0.013424712759524289, normalized 0.004474904253174763
48 => drift 0.008185426987303566, normalized 0.004092713493651783
49 => drift 0.0037092735570590013, normalized 0.0037092735570590013
