Average number of iterations: 30312.295
Median of last 9 normalized drift values: 1.6304021745652044E-4
0 => drift 0.9804432855280313, normalized 0.004902216427640157
1 => drift 1.1952191235059761, normalized 0.0060061262487737495
2 => drift NaN, normalized NaN
3 => drift NaN, normalized NaN
4 => drift NaN, normalized NaN
5 => drift NaN, normalized NaN
6 => drift NaN, normalized NaN
7 => drift NaN, normalized NaN
8 => drift NaN, normalized NaN
9 => drift NaN, normalized NaN
10 => drift NaN, normalized NaN
11 => drift NaN, normalized NaN
12 => drift NaN, normalized NaN
13 => drift NaN, normalized NaN
14 => drift NaN, normalized NaN
15 => drift NaN, normalized NaN
16 => drift NaN, normalized NaN
17 => drift NaN, normalized NaN
18 => drift NaN, normalized NaN
19 => drift NaN, normalized NaN
20 => drift NaN, normalized NaN
21 => drift NaN, normalized NaN
22 => drift NaN, normalized NaN
23 => drift NaN, normalized NaN
24 => drift NaN, normalized NaN
25 => drift NaN, normalized NaN
26 => drift NaN, normalized NaN
27 => drift NaN, normalized NaN
28 => drift NaN, normalized NaN
29 => drift NaN, normalized NaN
30 => drift NaN, normalized NaN
31 => drift NaN, normalized NaN
32 => drift NaN, normalized NaN
33 => drift NaN, normalized NaN
34 => drift NaN, normalized NaN
35 => drift NaN, normalized NaN
36 => drift NaN, normalized NaN
37 => drift NaN, normalized NaN
38 => drift NaN, normalized NaN
39 => drift NaN, normalized NaN
40 => drift NaN, normalized NaN
41 => drift NaN, normalized NaN
42 => drift NaN, normalized NaN
43 => drift NaN, normalized NaN
44 => drift NaN, normalized NaN
45 => drift NaN, normalized NaN
46 => drift NaN, normalized NaN
47 => drift NaN, normalized NaN
48 => drift NaN, normalized NaN
49 => drift NaN, normalized NaN
50 => drift NaN, normalized NaN
51 => drift NaN, normalized NaN
52 => drift NaN, normalized NaN
53 => drift 1.0, normalized 0.006802721088435374
54 => drift 0.75, normalized 0.005136986301369863
55 => drift 0.4857142857142857, normalized 0.003349753694581281
56 => drift 0.3516483516483517, normalized 0.002442002442002442
57 => drift 0.48148148148148145, normalized 0.003367003367003367
58 => drift 0.3054545454545455, normalized 0.002151088348271447
59 => drift 0.36470588235294116, normalized 0.002586566541510221
60 => drift 0.3668730650154799, normalized 0.0026205218929677134
61 => drift 0.2965853658536585, normalized 0.0021337076680119317
62 => drift 0.2944960686204432, normalized 0.002134029482756835
63 => drift 0.26585623678646936, normalized 0.0019405564728939369
64 => drift 0.22957639939485627, normalized 0.001688061760256296
65 => drift 0.22771952817824379, normalized 0.0016868113198388428
66 => drift 0.21516613076098606, normalized 0.001605717393738702
67 => drift 0.20561850802644005, normalized 0.0015460038197476695
68 => drift 0.17637732857709076, normalized 0.0013361918831597784
69 => drift 0.17073632405830022, normalized 0.0013033307180022918
70 => drift 0.15967713633970873, normalized 0.0012282856641516056
71 => drift 0.1443672606463304, normalized 0.001119126051521941
72 => drift 0.13913549701644592, normalized 0.0010869960704409838
73 => drift 0.13761596851279168, normalized 0.0010835903032503282
74 => drift 0.13213213213213212, normalized 0.0010486677153343819
75 => drift 0.11674641148325358, normalized 9.339712918660287E-4
76 => drift 0.11880955181743325, normalized 9.581415469147842E-4
77 => drift 0.10679396092362345, normalized 8.682435847449061E-4
78 => drift 0.1023976023976024, normalized 8.393246098164131E-4
79 => drift 0.10214168039538715, normalized 8.441461189701417E-4
80 => drift 0.09422049538610976, normalized 7.85170794884248E-4
81 => drift 0.08866731950502982, normalized 7.451035252523514E-4
82 => drift 0.08430431802604524, normalized 7.144433731020782E-4
83 => drift 0.08264802631578948, normalized 7.0639338731444E-4
84 => drift 0.08196990873962016, normalized 7.066371443070704E-4
85 => drift 0.07108003787051198, normalized 6.180872858305389E-4
86 => drift 0.07230736024174401, normalized 6.342750898398597E-4
87 => drift 0.06852861035422343, normalized 6.064478792409153E-4
88 => drift 0.0670310898530919, normalized 5.984918736883206E-4
89 => drift 0.06488719415316174, normalized 5.845693166951509E-4
90 => drift 0.06030586341403009, normalized 5.48235121945728E-4
91 => drift 0.06034894837476099, normalized 5.536600768326697E-4
92 => drift 0.06062810719049351, normalized 5.613713628749399E-4
93 => drift 0.05846190222852752, normalized 5.463729180236217E-4
94 => drift 0.05272910159352004, normalized 4.974443546558494E-4
95 => drift 0.05452617479629423, normalized 5.192969028218498E-4
96 => drift 0.05028265397203213, normalized 4.8348705742338587E-4
97 => drift 0.04841434570642467, normalized 4.700421913245114E-4
98 => drift 0.04708520179372197, normalized 4.616196254286468E-4
99 => drift 0.04575224116308235, normalized 4.529924867631916E-4
100 => drift 0.04238879877059677, normalized 4.238879877059677E-4
101 => drift 0.04122901331568936, normalized 4.164546799564582E-4
102 => drift 0.04171162945131568, normalized 4.256288719522008E-4
103 => drift 0.03794360253213121, normalized 3.91171160125064E-4
104 => drift 0.04335247635908286, normalized 4.5158829540711316E-4
