Average number of iterations: 12883.361
Median of last 9 normalized drift values: 3.922655567352231E-4
0 => drift 0.02463244955257735, normalized 6.158112388144337E-5
1 => drift 0.04845762678327628, normalized 1.2144768617362476E-4
2 => drift 0.06370043253380116, normalized 1.6005133802462603E-4
3 => drift 0.11122381477398015, normalized 2.801607425037283E-4
4 => drift 0.14992604544843352, normalized 3.786011248697816E-4
5 => drift 0.17286036036036037, normalized 4.376211654692668E-4
6 => drift 0.12857555619763075, normalized 3.2633389897875824E-4
7 => drift 0.22066792690611217, normalized 5.614959972165705E-4
8 => drift 0.16331845238095238, normalized 4.1662870505344997E-4
9 => drift 0.20587755102040817, normalized 5.265410512030899E-4
10 => drift 0.2971657103112502, normalized 7.619633597724365E-4
11 => drift 0.3034512698068157, normalized 7.800803851074953E-4
12 => drift 0.33529135338345867, normalized 8.641529726377801E-4
13 => drift 0.3368138424821002, normalized 8.703200064136957E-4
14 => drift 0.45674740484429066, normalized 0.001183283432239095
15 => drift 0.32140709561034275, normalized 8.348236249619293E-4
16 => drift 0.30103157236636446, normalized 7.839363863707408E-4
17 => drift 0.3473193473193473, normalized 9.068390269434656E-4
18 => drift 0.5598159509202454, normalized 0.0014654867825137313
19 => drift 0.4116727462219906, normalized 0.001080505895595776
20 => drift 0.4080254270957489, normalized 0.0010737511239361814
21 => drift 0.4310092637737689, normalized 0.001137227608901765
22 => drift 0.36137931034482756, normalized 9.560299215471629E-4
23 => drift 0.5525910723447922, normalized 0.0014657588125856558
24 => drift 0.32940066068900425, normalized 8.760655869388412E-4
25 => drift 0.464735516372796, normalized 0.0012392947103274559
26 => drift 0.36051743532058494, normalized 9.639503618197458E-4
27 => drift 0.4511238891792995, normalized 0.001209447424073189
28 => drift 0.5061367621274109, normalized 0.0013605826938908896
29 => drift 0.5104364326375711, normalized 0.0013758394410716202
30 => drift 0.5133587786259542, normalized 0.001387456158448525
31 => drift 0.7782026768642447, normalized 0.0021089503438055414
32 => drift 0.4507310870947235, normalized 0.0012248127366704443
33 => drift 0.4152488972904852, normalized 0.001131468384987698
34 => drift 0.43101092896174864, normalized 0.0011776254889665264
35 => drift 0.40458015267175573, normalized 0.0011084387744431665
36 => drift 0.5906354515050167, normalized 0.001622624866772024
37 => drift 0.6006339144215531, normalized 0.0016546388827040031
38 => drift 0.3633193863319386, normalized 0.0010036447136241397
39 => drift 0.5322924059616749, normalized 0.0014744941993398198
40 => drift 0.47702702702702704, normalized 0.001325075075075075
41 => drift 0.5247457627118645, normalized 0.0014616873613143857
42 => drift 0.695152013147083, normalized 0.001941765399852187
43 => drift 0.7620643431635389, normalized 0.0021346340144636944
44 => drift 0.5982758620689655, normalized 0.0016805501743510267
45 => drift 0.7872727272727272, normalized 0.0022176696542893725
46 => drift 0.7336108220603538, normalized 0.0020723469549727507
47 => drift 0.4514338575393155, normalized 0.0012788494547855962
48 => drift 0.6686332350049164, normalized 0.0018995262358094218
49 => drift 0.7324301439458086, normalized 0.0020866955667971756
50 => drift 0.5585789871504158, normalized 0.0015959399632869023
51 => drift 0.8876847290640394, normalized 0.002543509252332491
52 => drift 0.6734902763561924, normalized 0.0019353168860810127
53 => drift 0.6078998073217726, normalized 0.0017518726435785954
54 => drift 0.620821394460363, normalized 0.0017942814868796618
55 => drift 0.6211180124223602, normalized 0.0018003420649923484
56 => drift 0.5658396946564885, normalized 0.0016448828333037457
57 => drift 0.6193798449612403, normalized 0.001805772142744141
58 => drift 0.5250219490781387, normalized 0.0015351518978892944
59 => drift 0.7876895628902766, normalized 0.0023099400671269107
60 => drift 0.6481802426343154, normalized 0.0019064124783362217
61 => drift 0.7046808510638298, normalized 0.0020787045754095275
62 => drift 0.6854754440961337, normalized 0.0020280338582725848
63 => drift 0.562007874015748, normalized 0.0016676791513820417
64 => drift 0.5956416464891041, normalized 0.001772742995503286
65 => drift 0.6795096322241682, normalized 0.0020283869618631886
66 => drift 0.5465116279069767, normalized 0.0016362623590029243
67 => drift 0.5582010582010583, normalized 0.001676279454057232
68 => drift 0.7835880933226066, normalized 0.002360205100369297
69 => drift 0.884393063583815, normalized 0.002671882367322704
70 => drift 0.8487940630797773, normalized 0.002572103221453871
71 => drift 0.5573770491803278, normalized 0.0016941551646818475
72 => drift 0.7412040656763096, normalized 0.002259768492915578
73 => drift 0.5255639097744361, normalized 0.0016072290818790096
74 => drift 0.473831123517097, normalized 0.0014534697040401749
75 => drift 0.5133858267716536, normalized 0.001579648697758934
76 => drift 0.6069114470842333, normalized 0.001873183478655041
77 => drift 0.7797319932998324, normalized 0.0024140309390087693
78 => drift 0.5691056910569106, normalized 0.0017674089784376105
79 => drift 0.6771523178807947, normalized 0.0021095087784448433
80 => drift 0.5515806988352745, normalized 0.0017236896838602328
81 => drift 0.4727511490479317, normalized 0.001481978523661228
82 => drift 0.674079754601227, normalized 0.0021197476559787014
83 => drift 0.6523407521105142, normalized 0.0020578572621782784
84 => drift 0.5218373493975904, normalized 0.0016513840170809823
85 => drift 0.5983263598326359, normalized 0.0018994487613734473
86 => drift 0.6409472880061116, normalized 0.0020412334012933487
87 => drift 0.6024177300201478, normalized 0.0019246572844094176
88 => drift 0.4810704960835509, normalized 0.0015418926156524067
89 => drift 0.5853199498117942, normalized 0.0018820577164366374
90 => drift 0.5122699386503068, normalized 0.0016524836730655058
91 => drift 0.5259984928409948, normalized 0.0017022604946310509
92 => drift 0.5954198473282443, normalized 0.0019331813224942997
93 => drift 0.4645669291338583, normalized 0.0015132473261689195
94 => drift 0.6020942408376964, normalized 0.0019676282380316876
95 => drift 0.6416144745998609, normalized 0.002103654015081511
96 => drift 0.5462121212121213, normalized 0.001796750398724083
97 => drift 0.5598941098610192, normalized 0.001847835346075971
98 => drift 0.460166468489893, normalized 0.0015237300281122285
99 => drift 0.43527508090614886, normalized 0.0014460966143061424
100 => drift 0.5826137017846862, normalized 0.0019420456726156206
101 => drift 0.65283540802213, normalized 0.00218339601345194
102 => drift 0.5277442702050663, normalized 0.0017709539268626385
103 => drift 0.6382089552238805, normalized 0.002148851701090507
104 => drift 0.5337879727216367, normalized 0.001803337745681205
105 => drift 0.5903771131339401, normalized 0.0020012783496065768
106 => drift 0.524266027561414, normalized 0.0017832177808211362
107 => drift 0.5002888503755055, normalized 0.0017074704790972885
108 => drift 0.5878684807256236, normalized 0.0020132482216630946
109 => drift 0.49169859514687103, normalized 0.001689685893975502
110 => drift 0.5082449941107184, normalized 0.001752568945209374
111 => drift 0.4973614775725594, normalized 0.0017209739708393059
112 => drift 0.47878787878787876, normalized 0.0016624579124579124
113 => drift 0.506457046603032, normalized 0.0017646586989652684
114 => drift 0.48385416666666664, normalized 0.0016917977855477855
115 => drift 0.6209876543209877, normalized 0.0021789040502490794
116 => drift 0.5579374275782155, normalized 0.0019645684069655475
117 => drift 0.45081967213114754, normalized 0.0015930023750217227
118 => drift 0.48568398727465534, normalized 0.0017222836428179267
119 => drift 0.4837822979659153, normalized 0.001721645188490802
120 => drift 0.5359085963003264, normalized 0.0019139592725011657
121 => drift 0.5191897654584222, normalized 0.0018608952166968538
122 => drift 0.4881015335801163, normalized 0.0017557609121586918
123 => drift 0.4627492130115425, normalized 0.001670574776214955
124 => drift 0.5059652928416486, normalized 0.0018332075827595963
125 => drift 0.4187533297815663, normalized 0.0015227393810238775
126 => drift 0.4647532729103726, normalized 0.001696179828140046
127 => drift 0.5193428722840487, normalized 0.001902354843531314
128 => drift 0.5040845747236905, normalized 0.0018532521129547444
129 => drift 0.5631180919139034, normalized 0.0020779265384276878
130 => drift 0.4957478739369685, normalized 0.0018361032368035871
131 => drift 0.43256059009483666, normalized 0.0016080319334380545
132 => drift 0.4756606397774687, normalized 0.0017748531334980176
133 => drift 0.47997892518440466, normalized 0.0017976738770951485
134 => drift 0.5283018867924528, normalized 0.0019860973187686196
135 => drift 0.4182628062360802, normalized 0.0015783502122116233
136 => drift 0.47126436781609193, normalized 0.0017850923023336816
137 => drift 0.4636144578313253, normalized 0.0017627926153282332
138 => drift 0.47053649956024624, normalized 0.001795940838016207
139 => drift 0.4822901504124212, normalized 0.0018478549824230697
140 => drift 0.39854081167350663, normalized 0.0015328492756673331
141 => drift 0.4407630522088353, normalized 0.0017017878463661596
142 => drift 0.46845915201654603, normalized 0.0018157331473509536
143 => drift 0.4690853346959632, normalized 0.0018252347653539423
144 => drift 0.44352736750651606, normalized 0.0017325287793223283
145 => drift 0.41364003228410007, normalized 0.0016221177736631374
146 => drift 0.4103419516263553, normalized 0.00161551949459195
147 => drift 0.4054421768707483, normalized 0.0016025382485009814
148 => drift 0.4014241210502893, normalized 0.0015929528613106718
149 => drift 0.4326479227864037, normalized 0.0017236969035314888
150 => drift 0.4130162703379224, normalized 0.0016520650813516896
151 => drift 0.42838078291814946, normalized 0.001720404750675299
152 => drift 0.3866877971473851, normalized 0.0015592249884975205
153 => drift 0.3832618025751073, normalized 0.0015516672169032684
154 => drift 0.374250299880048, normalized 0.0015213426824392195
155 => drift 0.4102455546147333, normalized 0.0016744716514887072
156 => drift 0.3998320033599328, normalized 0.0016386557514751344
157 => drift 0.4221867517956903, normalized 0.0017373940403114828
158 => drift 0.4247422680412371, normalized 0.0017551333390133765
159 => drift 0.4066225165562914, normalized 0.001687230359154736
160 => drift 0.373134328358209, normalized 0.001554726368159204
161 => drift 0.34420821114369504, normalized 0.0014402017202665065
162 => drift 0.40423892100192677, normalized 0.0016984828613526334
163 => drift 0.32491645005569997, normalized 0.0013709554854670885
164 => drift 0.40732351830879576, normalized 0.0017259471114779482
165 => drift 0.38292011019283745, normalized 0.0016294472774163295
166 => drift 0.34893784421715185, normalized 0.0014911873684493669
