Average number of iterations: 343.693
Median of last 9 normalized drift values: 0.013633987687303985
0 => drift 0.03701153382682045, normalized 0.0014804613530728181
1 => drift 0.06414879483773012, normalized 0.002672866451572088
2 => drift 0.08678574768540166, normalized 0.003773293377626159
3 => drift 0.106663758316065, normalized 0.004848352650730228
4 => drift 0.13301529395257472, normalized 0.006334061616789273
5 => drift 0.13400360144057624, normalized 0.006700180072028812
6 => drift 0.1599255373159587, normalized 0.008417133542945196
7 => drift 0.15222367560497058, normalized 0.00845687086694281
8 => drift 0.16061406404754044, normalized 0.009447886120443555
9 => drift 0.15957257346393589, normalized 0.009973285841495993
10 => drift 0.15944399018806213, normalized 0.01062959934587081
11 => drift 0.1676923076923077, normalized 0.011978021978021978
12 => drift 0.15166112956810632, normalized 0.011666240736008178
13 => drift 0.14369880729989942, normalized 0.011974900608324951
14 => drift 0.12466769273821184, normalized 0.011333426612564713
15 => drift 0.1332975006718624, normalized 0.01332975006718624
16 => drift 0.11747885142380556, normalized 0.013053205713756172
17 => drift 0.10907190149843188, normalized 0.013633987687303985
18 => drift 0.09486912973636966, normalized 0.01355273281948138
19 => drift 0.08033898305084745, normalized 0.013389830508474575
20 => drift 0.06567954900495823, normalized 0.013135909800991646
21 => drift 0.05741157463504703, normalized 0.014352893658761757
22 => drift 0.041634672809487246, normalized 0.013878224269829082
23 => drift 0.026801913244268515, normalized 0.013400956622134258
24 => drift 0.01418979023788344, normalized 0.01418979023788344
