Average number of iterations: 1604.383
Median of last 9 normalized drift values: 0.004263406615985206
0 => drift 0.005815704719757177, normalized 1.4539261799392943E-4
1 => drift 0.011941899005654124, normalized 3.06202538606516E-4
2 => drift 0.016741969933459295, normalized 4.4057815614366566E-4
3 => drift 0.023846840112844502, normalized 6.445091922390406E-4
4 => drift 0.025463323469864508, normalized 7.073145408295696E-4
5 => drift 0.03089547135797097, normalized 8.827277530848849E-4
6 => drift 0.03585200625325691, normalized 0.0010544707721546148
7 => drift 0.038458472820022314, normalized 0.0011654082672734034
8 => drift 0.04334256450833004, normalized 0.0013544551408853137
9 => drift 0.044000897062121555, normalized 0.0014193837761974696
10 => drift 0.0458808385435822, normalized 0.0015293612847860733
11 => drift 0.050294970502949704, normalized 0.001734309327687921
12 => drift 0.04915506958250497, normalized 0.0017555381993751775
13 => drift 0.05310944593338074, normalized 0.0019670165160511383
14 => drift 0.0588339222614841, normalized 0.002262843163903235
15 => drift 0.05686857912760344, normalized 0.0022747431651041375
16 => drift 0.05350373659698906, normalized 0.0022293223582078776
17 => drift 0.055818617347222994, normalized 0.0024268964064009997
18 => drift 0.056428489505677255, normalized 0.002564931341167148
19 => drift 0.05725751752204386, normalized 0.00272654845343066
20 => drift 0.054529016217437984, normalized 0.002726450810871899
21 => drift 0.05444686678964727, normalized 0.002865624567876172
22 => drift 0.05357522877207917, normalized 0.0029764015984488426
23 => drift 0.0531977522076532, normalized 0.003129279541626659
24 => drift 0.05183259682869769, normalized 0.0032395373017936055
25 => drift 0.05281504172388296, normalized 0.0035210027815921973
26 => drift 0.04720989068690629, normalized 0.0033721350490647354
27 => drift 0.043747529318750825, normalized 0.0033651945629808327
28 => drift 0.045248458469350744, normalized 0.003770704872445895
29 => drift 0.03963956683368353, normalized 0.003603596984880321
30 => drift 0.037433956608086336, normalized 0.0037433956608086336
31 => drift 0.03458725182863114, normalized 0.003843027980959016
32 => drift 0.03215027251492344, normalized 0.00401878406436543
33 => drift 0.027728678745028722, normalized 0.003961239820718389
34 => drift 0.023939460088772464, normalized 0.003989910014795411
35 => drift 0.021084653309556278, normalized 0.004216930661911256
36 => drift 0.01805304565284851, normalized 0.004513261413212128
37 => drift 0.01328770419485068, normalized 0.004429234731616894
38 => drift 0.008732359755669451, normalized 0.0043661798778347255
39 => drift 0.004263406615985206, normalized 0.004263406615985206
