Average number of iterations: 9265.946
Median of last 9 normalized drift values: 4.37273679263462E-4
0 => drift 0.6250884893104913, normalized 0.006250884893104913
1 => drift 1.2624584717607974, normalized 0.01275210577536159
2 => drift 1.555729984301413, normalized 0.015874795758177684
3 => drift 1.58994708994709, normalized 0.016391207112856597
4 => drift 2.957627118644068, normalized 0.030808615819209042
5 => drift 1.3714285714285714, normalized 0.01443609022556391
6 => drift 7.146341463414634, normalized 0.07602490918526207
7 => drift 11.666666666666666, normalized 0.12544802867383512
8 => drift 4.4, normalized 0.04782608695652174
9 => drift 14.0, normalized 0.15384615384615385
10 => drift 3.6666666666666665, normalized 0.04074074074074074
11 => drift 4.066666666666666, normalized 0.045692883895131084
12 => drift NaN, normalized NaN
13 => drift NaN, normalized NaN
14 => drift 0.125, normalized 0.0014534883720930232
15 => drift 0.14285714285714285, normalized 0.001680672268907563
16 => drift 1.0, normalized 0.011904761904761904
17 => drift 8.0, normalized 0.0963855421686747
18 => drift 2.72, normalized 0.033170731707317075
19 => drift 0.25, normalized 0.0030864197530864196
20 => drift 3.625, normalized 0.0453125
21 => drift 1.0, normalized 0.012658227848101266
22 => drift NaN, normalized NaN
23 => drift 0.5, normalized 0.006493506493506494
24 => drift 8.5, normalized 0.1118421052631579
25 => drift 1.0, normalized 0.013333333333333334
26 => drift 2.75, normalized 0.037162162162162164
27 => drift 4.5, normalized 0.06164383561643835
28 => drift 0.696969696969697, normalized 0.009680134680134681
29 => drift 1.1724137931034482, normalized 0.016512870325400678
30 => drift 0.3870967741935484, normalized 0.005529953917050691
31 => drift 0.684931506849315, normalized 0.009926543577526304
32 => drift 0.82, normalized 0.012058823529411764
33 => drift 0.640625, normalized 0.009561567164179104
34 => drift 0.6706586826347305, normalized 0.01016149519143531
35 => drift 0.5720930232558139, normalized 0.008801431127012522
36 => drift 0.4840989399293286, normalized 0.00756404593639576
37 => drift 0.5260545905707196, normalized 0.008350072866201898
38 => drift 0.5186046511627908, normalized 0.008364591147786947
39 => drift 0.39510939510939513, normalized 0.006477203198514674
