Average number of iterations: 6512.94
Median of last 9 normalized drift values: 6.360058323901584E-4
0 => drift 0.5929505400795907, normalized 0.005929505400795907
1 => drift 1.2513192612137203, normalized 0.012639588497108285
2 => drift 1.4023372287145242, normalized 0.01430956355831147
3 => drift 2.5142857142857142, normalized 0.02592047128129602
4 => drift 2.713636363636364, normalized 0.028267045454545458
5 => drift 1.6626506024096386, normalized 0.01750158528852251
6 => drift 1.710144927536232, normalized 0.018193031144002468
7 => drift 9.571428571428571, normalized 0.10291858678955453
8 => drift 7.75, normalized 0.08423913043478261
9 => drift 0.3333333333333333, normalized 0.003663003663003663
10 => drift 3.325, normalized 0.036944444444444446
11 => drift 5.933333333333334, normalized 0.06666666666666667
12 => drift 1.2, normalized 0.013636363636363636
13 => drift 4.818181818181818, normalized 0.055381400208986416
14 => drift 0.09090909090909091, normalized 0.0010570824524312897
15 => drift 1.5714285714285714, normalized 0.018487394957983194
16 => drift NaN, normalized NaN
17 => drift 20.0, normalized 0.24096385542168675
18 => drift NaN, normalized NaN
19 => drift NaN, normalized NaN
20 => drift NaN, normalized NaN
21 => drift NaN, normalized NaN
22 => drift NaN, normalized NaN
23 => drift 1.8, normalized 0.023376623376623377
24 => drift 0.6153846153846154, normalized 0.008097165991902834
25 => drift 3.0588235294117645, normalized 0.04078431372549019
26 => drift 1.173913043478261, normalized 0.015863689776733258
27 => drift 0.7931034482758621, normalized 0.010864430798299482
28 => drift 0.5, normalized 0.006944444444444444
29 => drift 1.3559322033898304, normalized 0.0190976366674624
30 => drift 0.8375, normalized 0.011964285714285714
31 => drift 0.5641025641025641, normalized 0.008175399479747306
32 => drift 1.1944444444444444, normalized 0.017565359477124183
33 => drift 0.759493670886076, normalized 0.011335726431135463
34 => drift 0.5104895104895105, normalized 0.007734689552871371
35 => drift 0.7365269461077845, normalized 0.011331183786273607
36 => drift 0.7428571428571429, normalized 0.011607142857142858
37 => drift 0.5380577427821522, normalized 0.008540599091780194
38 => drift 0.4029363784665579, normalized 0.006498973846234804
39 => drift 0.5020979020979021, normalized 0.008231113149145935
40 => drift 0.44469783352337516, normalized 0.007411630558722919
41 => drift 0.3666146645865835, normalized 0.006213807874348873
42 => drift 0.316012084592145, normalized 0.005448484217105949
43 => drift 0.3081232492997199, normalized 0.0054056710403459635
44 => drift 0.2914702100300043, normalized 0.005204825179107219
45 => drift 0.2409443725743855, normalized 0.004380806774079736
46 => drift 0.2311962253677491, normalized 0.004281411580884242
47 => drift 0.2326797385620915, normalized 0.004390183746454557
48 => drift 0.2078100022836264, normalized 0.003996346197762046
49 => drift 0.1758607198748044, normalized 0.0034482494093098903
50 => drift 0.16102564102564101, normalized 0.0032205128205128205
51 => drift 0.14575866188769415, normalized 0.0029746665691366154
52 => drift 0.14304635761589404, normalized 0.002980132450331126
53 => drift 0.11831325301204819, normalized 0.0025173032555754933
54 => drift 0.11433586892919836, normalized 0.0024855623680260512
55 => drift 0.09740911829684676, normalized 0.0021646470732632614
56 => drift 0.09268065268065268, normalized 0.0021063784700148334
57 => drift 0.08080724192342828, normalized 0.001879238184265774
58 => drift 0.07827047498816475, normalized 0.0018635827378134465
59 => drift 0.07427075542258789, normalized 0.0018114818395753144
60 => drift 0.06580670508119434, normalized 0.0016451676270298585
61 => drift 0.05896510228640193, normalized 0.0015119256996513316
62 => drift 0.0567915036333147, normalized 0.0014945132535082815
63 => drift 0.050351949853568306, normalized 0.0013608635095559002
64 => drift 0.05134398930975998, normalized 0.0014262219252711107
65 => drift 0.04237071172555044, normalized 0.0012105917635871553
66 => drift 0.0397802462204756, normalized 0.001170007241778694
67 => drift 0.038242597898758356, normalized 0.0011588666029926774
68 => drift 0.037502379592613745, normalized 0.0011719493622691795
69 => drift 0.033969272328212056, normalized 0.0010957829783294212
70 => drift 0.030469897209985317, normalized 0.0010156632403328439
71 => drift 0.026936026936026935, normalized 9.288285150354116E-4
72 => drift 0.026223133112617585, normalized 9.365404683077708E-4
73 => drift 0.02573111501498398, normalized 9.530042598142216E-4
74 => drift 0.02259557072907776, normalized 8.690604126568369E-4
75 => drift 0.020379176187241402, normalized 8.151670474896561E-4
76 => drift 0.02169638033495408, normalized 9.040158472897533E-4
77 => drift 0.01825453611462748, normalized 7.93675483244673E-4
78 => drift 0.0182471107222283, normalized 8.294141237376499E-4
79 => drift 0.01591900410710306, normalized 7.580478146239552E-4
80 => drift 0.015519620459231926, normalized 7.759810229615963E-4
81 => drift 0.015722623811708136, normalized 8.275065164056914E-4
82 => drift 0.013563786455221855, normalized 7.535436919567697E-4
83 => drift 0.012542445087646757, normalized 7.377908875086328E-4
84 => drift 0.011836348586969374, normalized 7.397717866855859E-4
85 => drift 0.010724867952076266, normalized 7.149911968050844E-4
86 => drift 0.009676175790285273, normalized 6.911554135918053E-4
87 => drift 0.009070418936552693, normalized 6.977245335809764E-4
88 => drift 0.007626063102233565, normalized 6.355052585194637E-4
89 => drift 0.00706786135412033, normalized 6.425328503745755E-4
90 => drift 0.006081705064644697, normalized 6.081705064644698E-4
91 => drift 0.005724052491511425, normalized 6.360058323901584E-4
92 => drift 0.004877692588535962, normalized 6.097115735669952E-4
93 => drift 0.004518898240938408, normalized 6.455568915626296E-4
94 => drift 0.003890657369511394, normalized 6.484428949185657E-4
95 => drift 0.0029209787615634246, normalized 5.841957523126849E-4
96 => drift 0.0025693254941900837, normalized 6.423313735475209E-4
97 => drift 0.001834131367134716, normalized 6.113771223782387E-4
98 => drift 0.0011659881603764777, normalized 5.829940801882388E-4
99 => drift 6.252696475354996E-4, normalized 6.252696475354996E-4
