Average number of iterations: 249.362
Median of last 9 normalized drift values: 0.013388592301208204
0 => drift 0.024274119939808075, normalized 0.0024274119939808074
1 => drift 0.04195686833934715, normalized 0.004661874259927461
2 => drift 0.056311018131101814, normalized 0.007038877266387727
3 => drift 0.0609357313545466, normalized 0.008705104479220942
4 => drift 0.06404265122095702, normalized 0.010673775203492837
5 => drift 0.06208183221821925, normalized 0.01241636644364385
6 => drift 0.053554369204832815, normalized 0.013388592301208204
7 => drift 0.04673507462686567, normalized 0.015578358208955223
8 => drift 0.03461428775131898, normalized 0.01730714387565949
9 => drift 0.01855950962029627, normalized 0.01855950962029627
