Average number of iterations: 680.325
Median of last 9 normalized drift values: 0.00819466720128308
0 => drift 0.013913682663026358, normalized 5.565473065210543E-4
1 => drift 0.025308835845896147, normalized 0.0010545348269123394
2 => drift 0.0325312867316601, normalized 0.0014144037709417434
3 => drift 0.04380548920636351, normalized 0.0019911586002892504
4 => drift 0.05116981132075472, normalized 0.002436657681940701
5 => drift 0.05654336515922474, normalized 0.002827168257961237
6 => drift 0.06041163765722272, normalized 0.0031795598766959326
7 => drift 0.0710084331372688, normalized 0.003944912952070489
8 => drift 0.06795707973911214, normalized 0.003997475278771302
9 => drift 0.07314732801889577, normalized 0.004571708001180986
10 => drift 0.07310724378997471, normalized 0.0048738162526649805
11 => drift 0.07234486873508353, normalized 0.005167490623934538
12 => drift 0.07268788286269237, normalized 0.00559137560482249
13 => drift 0.07011019283746557, normalized 0.005842516069788798
14 => drift 0.07118493252261604, normalized 0.006471357502056004
15 => drift 0.06477837279824505, normalized 0.006477837279824506
16 => drift 0.06209499842717836, normalized 0.006899444269686484
17 => drift 0.055230924823013824, normalized 0.006903865602876728
18 => drift 0.04915575981616545, normalized 0.00702225140230935
19 => drift 0.04574561201455751, normalized 0.007624268669092919
20 => drift 0.03760645112668626, normalized 0.007521290225337251
21 => drift 0.03277866880513232, normalized 0.00819466720128308
22 => drift 0.026197963861201427, normalized 0.008732654620400475
23 => drift 0.01800394902171962, normalized 0.00900197451085981
24 => drift 0.008960165922260326, normalized 0.008960165922260326
