Average number of iterations: 5376.275
Median of last 9 normalized drift values: 8.716110786034718E-4
0 => drift 0.04566363015551919, normalized 2.2831815077759595E-4
1 => drift 0.065529330971916, normalized 3.2929312046188947E-4
2 => drift 0.11324293906425853, normalized 5.719340356780734E-4
3 => drift 0.1767463130216074, normalized 8.971894062010528E-4
4 => drift 0.20483478758403662, normalized 0.0010450754468573297
5 => drift 0.21057162534435261, normalized 0.001079854488945398
6 => drift 0.26896875734085035, normalized 0.0013864368935095378
7 => drift 0.35373647984267453, normalized 0.0018328315017755157
8 => drift 0.23812316715542522, normalized 0.0012402248289345064
9 => drift 0.267258382642998, normalized 0.0013992585478690995
10 => drift 0.3188405797101449, normalized 0.0016781083142639204
11 => drift 0.29978586723768735, normalized 0.0015861686097232135
12 => drift 0.412609736632083, normalized 0.002194732641660016
13 => drift 0.4772727272727273, normalized 0.002552260573650948
14 => drift 0.45176348547717843, normalized 0.0024288359434256903
15 => drift 0.4117330462863294, normalized 0.002225584033980159
16 => drift 0.4522454142947502, normalized 0.0024578555124714686
17 => drift 0.5692219679633868, normalized 0.0031105025571769767
18 => drift 0.39276745354093423, normalized 0.0021580629315435945
19 => drift 0.4163036714374611, normalized 0.002300020284184868
20 => drift 0.5491803278688525, normalized 0.003051001821493625
21 => drift 0.4191220685508118, normalized 0.002341464070116267
22 => drift 0.6119505494505495, normalized 0.0034379244351154465
23 => drift 0.6, normalized 0.003389830508474576
24 => drift 0.5547667342799188, normalized 0.003152083717499539
25 => drift 0.5374901341752171, normalized 0.0030713721952869547
26 => drift 0.637090909090909, normalized 0.003661442006269592
27 => drift 0.5950653120464441, normalized 0.0034396838846615266
28 => drift 0.6824324324324325, normalized 0.003967630421118793
29 => drift 0.5670411985018726, normalized 0.0033160304005957464
30 => drift 0.6631407648494712, normalized 0.003900828028526301
31 => drift 0.41267501842299187, normalized 0.00244186401433723
32 => drift 0.6565954310980103, normalized 0.0039083061374881566
33 => drift 0.6604255319148936, normalized 0.003954643903681998
34 => drift 0.4008069939475454, normalized 0.00241449996353943
35 => drift 0.5785977859778598, normalized 0.0035066532483506658
36 => drift 0.5136655948553055, normalized 0.003132107285703082
37 => drift 0.6690391459074733, normalized 0.004104534637469161
38 => drift 0.5812883435582822, normalized 0.0035881996515943343
39 => drift 0.6185752930568079, normalized 0.0038420825655702353
40 => drift 0.4842632331902718, normalized 0.0030266452074391987
41 => drift 0.5469107551487414, normalized 0.0034396902839543488
42 => drift 0.5123537061118335, normalized 0.003242744975391351
43 => drift 0.6293604651162791, normalized 0.004008665382906236
44 => drift 0.5823723228995058, normalized 0.003733155916022473
45 => drift 0.49967384213959554, normalized 0.0032237022073522293
46 => drift 0.5235332043842682, normalized 0.0033995662622355077
47 => drift 0.44781553398058255, normalized 0.002926898914905768
48 => drift 0.6078965282505105, normalized 0.003999319264805991
49 => drift 0.5056312981624185, normalized 0.003348551643459725
50 => drift 0.5557632398753894, normalized 0.0037050882658359297
51 => drift 0.5698245614035088, normalized 0.0038243259154597904
52 => drift 0.4775429326287979, normalized 0.003226641436681067
53 => drift 0.5471698113207547, normalized 0.0037222436144269027
54 => drift 0.476009139375476, normalized 0.003260336571064904
55 => drift 0.5490196078431373, normalized 0.0037863421230561194
56 => drift 0.47612259444048466, normalized 0.003306406905836699
57 => drift 0.5384615384615384, normalized 0.0037654653039268424
58 => drift 0.5604982206405694, normalized 0.003947170567891334
59 => drift 0.4890745501285347, normalized 0.0034686138306988276
60 => drift 0.5192896509491733, normalized 0.003709211792494095
61 => drift 0.4988207547169811, normalized 0.003588638523143749
62 => drift 0.43781094527363185, normalized 0.0031725430816929843
63 => drift 0.42560175054704596, normalized 0.0031065821207813572
64 => drift 0.42909280500521374, normalized 0.003155094154450101
65 => drift 0.4909560723514212, normalized 0.0036367116470475643
66 => drift 0.46834170854271356, normalized 0.0034950873771844295
67 => drift 0.46713742531233027, normalized 0.0035123114685137614
68 => drift 0.4212248714352501, normalized 0.0031910975108731068
69 => drift 0.49839400428265523, normalized 0.003804534383837063
70 => drift 0.36935638808837656, normalized 0.0028412029852952045
71 => drift 0.4708542713567839, normalized 0.0036500331112928985
72 => drift 0.4423469387755102, normalized 0.0034558354591836733
73 => drift 0.41321961620469083, normalized 0.0032536977653912663
74 => drift 0.4158773116824538, normalized 0.003300613584781379
75 => drift 0.4132693844924061, normalized 0.0033061550759392487
76 => drift 0.36650485436893204, normalized 0.0029556843094268714
77 => drift 0.3823279524214104, normalized 0.003108357336759434
78 => drift 0.3858903527411815, normalized 0.0031630356782064058
79 => drift 0.40244865718799366, normalized 0.0033260219602313525
80 => drift 0.35889201124046566, normalized 0.002990766760337214
81 => drift 0.33595284872298625, normalized 0.002823133182546103
82 => drift 0.4012957317073171, normalized 0.0034008112856552296
83 => drift 0.3801556420233463, normalized 0.003249193521567062
84 => drift 0.38404726735598227, normalized 0.0033107523047929506
85 => drift 0.3723037100949094, normalized 0.0032374235660426907
86 => drift 0.37140575079872207, normalized 0.0032579451824449306
87 => drift 0.3529616724738676, normalized 0.0031235546236625454
88 => drift 0.3558373741141365, normalized 0.0031771194117333618
89 => drift 0.3486171761280932, normalized 0.003140695280433272
90 => drift 0.36269614835948644, normalized 0.0032972377123589676
91 => drift 0.3353901996370236, normalized 0.003076974308596547
92 => drift 0.31683480453972257, normalized 0.0029336555975900238
93 => drift 0.3218157181571816, normalized 0.003007623534179267
94 => drift 0.30844724851034, normalized 0.0029098797029277357
95 => drift 0.3242212333121424, normalized 0.0030878212696394515
96 => drift 0.307081613210543, normalized 0.0029527078193321444
97 => drift 0.3181673560292714, normalized 0.0030890034565948677
98 => drift 0.28096947935368044, normalized 0.002754602738761573
99 => drift 0.30106183635227984, normalized 0.0029808102609136617
100 => drift 0.30396751015307716, normalized 0.0030396751015307716
101 => drift 0.27894421115776846, normalized 0.002817618294522914
102 => drift 0.2606263982102908, normalized 0.002659453042962151
103 => drift 0.2594702363998861, normalized 0.002674950890720475
104 => drift 0.27877449627380624, normalized 0.002903901002852148
105 => drift 0.26332126228660113, normalized 0.002771802760911591
106 => drift 0.2531152647975078, normalized 0.0026927155829522104
107 => drift 0.24018126888217523, normalized 0.0025825942890556476
108 => drift 0.24812575574365175, normalized 0.0026970190841701276
109 => drift 0.25979602791196993, normalized 0.002854901405626043
110 => drift 0.23336619024149827, normalized 0.0025929576693499807
111 => drift 0.24338624338624337, normalized 0.0027346768919802628
112 => drift 0.2233611442193087, normalized 0.0025381948206739625
113 => drift 0.22177509501453163, normalized 0.002549139023155536
114 => drift 0.22452341727465286, normalized 0.002610737410170382
115 => drift 0.22686633884666965, normalized 0.0026690157511372902
116 => drift 0.19754098360655736, normalized 0.00235167837626854
117 => drift 0.22023939064200218, normalized 0.00265348663424099
118 => drift 0.22318097014925373, normalized 0.002721719148161631
119 => drift 0.19780658025922232, normalized 0.002442056546410152
120 => drift 0.19768881551795295, normalized 0.002471110193974412
121 => drift 0.18373891718543672, normalized 0.002325809078296667
122 => drift 0.18710398807305256, normalized 0.0023987690778596482
123 => drift 0.18446601941747573, normalized 0.002395662589837347
124 => drift 0.187075454378557, normalized 0.0024615191365599605
125 => drift 0.17804312956692211, normalized 0.0023739083942256284
126 => drift 0.1834439528023599, normalized 0.0024789723351670255
127 => drift 0.16008626410086263, normalized 0.002192962521929625
128 => drift 0.18002510310202618, normalized 0.002500348654194808
129 => drift 0.16502211636611092, normalized 0.0023242551600860693
130 => drift 0.16626997619857192, normalized 0.002375285374265313
131 => drift 0.15140128385783622, normalized 0.002194221505186032
132 => drift 0.15921430852762697, normalized 0.0023413868901121615
133 => drift 0.13780310056976283, normalized 0.0020567626950710872
134 => drift 0.15095797280593326, normalized 0.00228724201221111
135 => drift 0.1297875219921505, normalized 0.001996731107571546
136 => drift 0.13560245064669843, normalized 0.002118788291354663
137 => drift 0.13748979036210182, normalized 0.002182377624795267
138 => drift 0.12565984292519633, normalized 0.002026771660083812
139 => drift 0.1248889452976266, normalized 0.0020473597589774854
140 => drift 0.12885685381891754, normalized 0.0021476142303152924
141 => drift 0.12042775549884555, normalized 0.002041148398285518
142 => drift 0.11065292096219931, normalized 0.0019078089821068845
143 => drift 0.10983827493261455, normalized 0.0019269872795195536
144 => drift 0.11186059584035975, normalized 0.0019975106400064242
145 => drift 0.10519591141396933, normalized 0.0019126529347994424
146 => drift 0.10217541096564622, normalized 0.0018921372401045596
147 => drift 0.10308407266582172, normalized 0.0019449825031287117
148 => drift 0.0997254363600706, normalized 0.0019177968530782808
149 => drift 0.09894446088586367, normalized 0.0019400874683502681
150 => drift 0.09703585019026638, normalized 0.0019407170038053276
151 => drift 0.09345794392523364, normalized 0.0019073049780659926
152 => drift 0.09373541219307255, normalized 0.001952821087355678
153 => drift 0.08735529830810329, normalized 0.001858623368257517
154 => drift 0.0796023856858847, normalized 0.0017304866453453193
155 => drift 0.07720331757228122, normalized 0.001715629279384027
156 => drift 0.0771817328745699, normalized 0.0017541302926038615
157 => drift 0.0768590664951963, normalized 0.0017874201510510769
158 => drift 0.07380629612893508, normalized 0.0017572927649746448
159 => drift 0.07142345952909182, normalized 0.0017420355982705321
160 => drift 0.06583344472664082, normalized 0.0016458361181660205
161 => drift 0.062291574907191845, normalized 0.0015972198694151755
162 => drift 0.06186789861405918, normalized 0.0016281025951068206
163 => drift 0.0555798926733107, normalized 0.0015021592614408296
164 => drift 0.05480593036814926, normalized 0.0015223869546708126
165 => drift 0.05592991913746631, normalized 0.0015979976896418947
166 => drift 0.049132097675786995, normalized 0.0014450616963466764
167 => drift 0.048327137546468404, normalized 0.0014644587135293455
168 => drift 0.046743402582818644, normalized 0.0014607313307130826
169 => drift 0.0461723150798781, normalized 0.0014894295187057453
170 => drift 0.046456583283055644, normalized 0.0015485527761018548
171 => drift 0.041170939122613354, normalized 0.0014196875559521847
172 => drift 0.043711590063187054, normalized 0.0015611282165423949
173 => drift 0.03825393100211218, normalized 0.0014168122593374883
174 => drift 0.03414295628036086, normalized 0.0013131906261677254
175 => drift 0.03260376869779188, normalized 0.001304150747911675
176 => drift 0.031341516605395976, normalized 0.0013058965252248323
177 => drift 0.029324304431031945, normalized 0.001274969757870954
178 => drift 0.02686808740221203, normalized 0.0012212767001005469
179 => drift 0.025890810585538652, normalized 0.0012328957421685073
180 => drift 0.023921606302238448, normalized 0.0011960803151119224
181 => drift 0.022750563640090184, normalized 0.001197398086320536
182 => drift 0.02072538860103627, normalized 0.0011514104778353484
183 => drift 0.018847408481333816, normalized 0.0011086710871372834
184 => drift 0.016983810457295433, normalized 0.0010614881535809645
185 => drift 0.016173955533838262, normalized 0.0010782637022558842
186 => drift 0.01515425949405301, normalized 0.0010824471067180721
187 => drift 0.012671013936836721, normalized 9.746933797566709E-4
188 => drift 0.011974616680808346, normalized 9.978847234006956E-4
189 => drift 0.010212539524983882, normalized 9.284126840894438E-4
190 => drift 0.009754061766018984, normalized 9.754061766018984E-4
191 => drift 0.008572117786929028, normalized 9.524575318810031E-4
192 => drift 0.0071291315746237205, normalized 8.911414468279651E-4
193 => drift 0.006426157029573175, normalized 9.180224327961678E-4
194 => drift 0.005229666471620831, normalized 8.716110786034718E-4
195 => drift 0.00424796540334389, normalized 8.495930806687779E-4
196 => drift 0.0034343978240759915, normalized 8.585994560189979E-4
197 => drift 0.002473886750962067, normalized 8.246289169873557E-4
198 => drift 0.0016539811921539886, normalized 8.269905960769943E-4
199 => drift 7.88446649496753E-4, normalized 7.88446649496753E-4
