Average number of iterations: 38112.409
Median of last 9 normalized drift values: 1.4138286309496852E-4
0 => drift 0.7022773560451768, normalized 0.001755693390112942
1 => drift 1.1212558643089137, normalized 0.002810165073455924
2 => drift 2.140311804008909, normalized 0.0053776678492686155
3 => drift 2.077490774907749, normalized 0.005232974244100123
4 => drift 3.430722891566265, normalized 0.008663441645369356
5 => drift 4.504587155963303, normalized 0.011404018116362791
6 => drift 0.7961165048543689, normalized 0.00202060026612784
7 => drift 4.5092592592592595, normalized 0.011473942135519744
8 => drift 13.038461538461538, normalized 0.03326138147566719
9 => drift 4.984848484848484, normalized 0.012748973107029372
10 => drift NaN, normalized NaN
11 => drift NaN, normalized NaN
12 => drift NaN, normalized NaN
13 => drift NaN, normalized NaN
14 => drift NaN, normalized NaN
15 => drift NaN, normalized NaN
16 => drift NaN, normalized NaN
17 => drift NaN, normalized NaN
18 => drift NaN, normalized NaN
19 => drift NaN, normalized NaN
20 => drift NaN, normalized NaN
21 => drift NaN, normalized NaN
22 => drift NaN, normalized NaN
23 => drift NaN, normalized NaN
24 => drift NaN, normalized NaN
25 => drift NaN, normalized NaN
26 => drift NaN, normalized NaN
27 => drift NaN, normalized NaN
28 => drift NaN, normalized NaN
29 => drift NaN, normalized NaN
30 => drift NaN, normalized NaN
31 => drift NaN, normalized NaN
32 => drift NaN, normalized NaN
33 => drift NaN, normalized NaN
34 => drift NaN, normalized NaN
35 => drift NaN, normalized NaN
36 => drift NaN, normalized NaN
37 => drift NaN, normalized NaN
38 => drift NaN, normalized NaN
39 => drift NaN, normalized NaN
40 => drift NaN, normalized NaN
41 => drift NaN, normalized NaN
42 => drift NaN, normalized NaN
43 => drift NaN, normalized NaN
44 => drift NaN, normalized NaN
45 => drift NaN, normalized NaN
46 => drift NaN, normalized NaN
47 => drift NaN, normalized NaN
48 => drift NaN, normalized NaN
49 => drift NaN, normalized NaN
50 => drift NaN, normalized NaN
51 => drift NaN, normalized NaN
52 => drift NaN, normalized NaN
53 => drift NaN, normalized NaN
54 => drift NaN, normalized NaN
55 => drift NaN, normalized NaN
56 => drift NaN, normalized NaN
57 => drift NaN, normalized NaN
58 => drift NaN, normalized NaN
59 => drift NaN, normalized NaN
60 => drift NaN, normalized NaN
61 => drift NaN, normalized NaN
62 => drift NaN, normalized NaN
63 => drift NaN, normalized NaN
64 => drift NaN, normalized NaN
65 => drift NaN, normalized NaN
66 => drift NaN, normalized NaN
67 => drift NaN, normalized NaN
68 => drift NaN, normalized NaN
69 => drift NaN, normalized NaN
70 => drift NaN, normalized NaN
71 => drift NaN, normalized NaN
72 => drift NaN, normalized NaN
73 => drift NaN, normalized NaN
74 => drift NaN, normalized NaN
75 => drift NaN, normalized NaN
76 => drift NaN, normalized NaN
77 => drift NaN, normalized NaN
78 => drift NaN, normalized NaN
79 => drift NaN, normalized NaN
80 => drift NaN, normalized NaN
81 => drift NaN, normalized NaN
82 => drift NaN, normalized NaN
83 => drift NaN, normalized NaN
84 => drift NaN, normalized NaN
85 => drift NaN, normalized NaN
86 => drift NaN, normalized NaN
87 => drift NaN, normalized NaN
88 => drift NaN, normalized NaN
89 => drift NaN, normalized NaN
90 => drift NaN, normalized NaN
91 => drift NaN, normalized NaN
92 => drift NaN, normalized NaN
93 => drift NaN, normalized NaN
94 => drift NaN, normalized NaN
95 => drift NaN, normalized NaN
96 => drift NaN, normalized NaN
97 => drift NaN, normalized NaN
98 => drift NaN, normalized NaN
99 => drift NaN, normalized NaN
100 => drift NaN, normalized NaN
101 => drift NaN, normalized NaN
102 => drift NaN, normalized NaN
103 => drift NaN, normalized NaN
104 => drift NaN, normalized NaN
