Average number of iterations: 7287.568
Median of last 9 normalized drift values: 5.520815354726216E-4
0 => drift 0.6872157655381506, normalized 0.006872157655381505
1 => drift 1.361005331302361, normalized 0.013747528599013747
2 => drift 1.7724867724867726, normalized 0.01808659971925278
3 => drift 1.9696969696969697, normalized 0.020306154326772883
4 => drift 5.04, normalized 0.0525
5 => drift 1.5730337078651686, normalized 0.01655824955647546
6 => drift 7.222222222222222, normalized 0.0768321513002364
7 => drift 6.035714285714286, normalized 0.06490015360983102
8 => drift 24.0, normalized 0.2608695652173913
9 => drift NaN, normalized NaN
10 => drift 0.5333333333333333, normalized 0.005925925925925926
11 => drift 1.6451612903225807, normalized 0.018484958318231243
12 => drift 0.125, normalized 0.0014204545454545455
13 => drift 7.5, normalized 0.08620689655172414
14 => drift 0.8461538461538461, normalized 0.009838998211091235
15 => drift 0.25, normalized 0.0029411764705882353
16 => drift 2.25, normalized 0.026785714285714284
17 => drift 1.08, normalized 0.013012048192771086
18 => drift NaN, normalized NaN
19 => drift 0.7142857142857143, normalized 0.008818342151675485
20 => drift NaN, normalized NaN
21 => drift 2.4285714285714284, normalized 0.03074141048824593
22 => drift 2.7142857142857144, normalized 0.0347985347985348
23 => drift 1.4285714285714286, normalized 0.01855287569573284
24 => drift 4.0, normalized 0.05263157894736842
25 => drift 1.7142857142857142, normalized 0.022857142857142857
26 => drift 2.4444444444444446, normalized 0.03303303303303304
27 => drift 2.32, normalized 0.03178082191780822
28 => drift 1.3333333333333333, normalized 0.018518518518518517
29 => drift 0.8571428571428571, normalized 0.012072434607645875
30 => drift 0.5, normalized 0.007142857142857143
31 => drift 0.9506172839506173, normalized 0.01377706208624083
32 => drift 0.6530612244897959, normalized 0.009603841536614645
33 => drift 0.6790123456790124, normalized 0.010134512622074812
34 => drift 0.6402439024390244, normalized 0.009700665188470067
35 => drift 0.6694214876033058, normalized 0.010298792116973935
36 => drift 0.528052805280528, normalized 0.00825082508250825
37 => drift 0.4305239179954442, normalized 0.00683371298405467
38 => drift 0.47058823529411764, normalized 0.007590132827324478
39 => drift 0.4371165644171779, normalized 0.007165845318314392
40 => drift 0.3475247524752475, normalized 0.005792079207920792
41 => drift 0.3430099312452254, normalized 0.005813727648224159
42 => drift 0.3396561944279787, normalized 0.005856141283241012
43 => drift 0.29571625978811605, normalized 0.0051880045576862465
44 => drift 0.2690035447026388, normalized 0.004803634726832836
45 => drift 0.2552850736707239, normalized 0.0046415467940131615
46 => drift 0.22927788704692328, normalized 0.004245886797165246
47 => drift 0.21792743656627936, normalized 0.004111838425778856
48 => drift 0.21765816808309726, normalized 0.004185734001598025
49 => drift 0.1776416539050536, normalized 0.003483169684412816
50 => drift 0.1614486376713488, normalized 0.003228972753426976
51 => drift 0.14227703414047224, normalized 0.0029036129416422905
52 => drift 0.13383804244964176, normalized 0.0027882925510342035
53 => drift 0.11558841651263094, normalized 0.002459328010907041
54 => drift 0.10824357470406314, normalized 0.002353121189218764
55 => drift 0.09354590856703804, normalized 0.002078797968156401
56 => drift 0.09148700939745716, normalized 0.002079250213578572
57 => drift 0.08375763747454175, normalized 0.0019478520342916686
58 => drift 0.07480916030534351, normalized 0.0017811704834605599
