Average number of iterations: 98683.641
Median of last 9 normalized drift values: 5.6575434629461456E-5
0 => drift 1.6744186046511629, normalized 0.004186046511627907
1 => drift 0.8503401360544217, normalized 0.002131178285850681
2 => drift NaN, normalized NaN
3 => drift NaN, normalized NaN
4 => drift NaN, normalized NaN
5 => drift NaN, normalized NaN
6 => drift NaN, normalized NaN
7 => drift NaN, normalized NaN
8 => drift NaN, normalized NaN
9 => drift NaN, normalized NaN
10 => drift NaN, normalized NaN
11 => drift NaN, normalized NaN
12 => drift NaN, normalized NaN
13 => drift NaN, normalized NaN
14 => drift NaN, normalized NaN
15 => drift NaN, normalized NaN
16 => drift NaN, normalized NaN
17 => drift NaN, normalized NaN
18 => drift NaN, normalized NaN
19 => drift NaN, normalized NaN
20 => drift NaN, normalized NaN
21 => drift NaN, normalized NaN
22 => drift NaN, normalized NaN
23 => drift NaN, normalized NaN
24 => drift NaN, normalized NaN
25 => drift NaN, normalized NaN
26 => drift NaN, normalized NaN
27 => drift NaN, normalized NaN
28 => drift NaN, normalized NaN
29 => drift NaN, normalized NaN
30 => drift NaN, normalized NaN
31 => drift NaN, normalized NaN
32 => drift NaN, normalized NaN
33 => drift NaN, normalized NaN
34 => drift NaN, normalized NaN
35 => drift NaN, normalized NaN
36 => drift NaN, normalized NaN
37 => drift NaN, normalized NaN
38 => drift NaN, normalized NaN
39 => drift NaN, normalized NaN
40 => drift NaN, normalized NaN
41 => drift NaN, normalized NaN
42 => drift NaN, normalized NaN
43 => drift NaN, normalized NaN
44 => drift NaN, normalized NaN
45 => drift NaN, normalized NaN
46 => drift NaN, normalized NaN
47 => drift NaN, normalized NaN
48 => drift NaN, normalized NaN
49 => drift NaN, normalized NaN
50 => drift NaN, normalized NaN
51 => drift NaN, normalized NaN
52 => drift NaN, normalized NaN
53 => drift NaN, normalized NaN
54 => drift NaN, normalized NaN
55 => drift NaN, normalized NaN
56 => drift NaN, normalized NaN
57 => drift NaN, normalized NaN
58 => drift NaN, normalized NaN
59 => drift NaN, normalized NaN
60 => drift NaN, normalized NaN
61 => drift NaN, normalized NaN
62 => drift NaN, normalized NaN
63 => drift NaN, normalized NaN
64 => drift NaN, normalized NaN
65 => drift NaN, normalized NaN
66 => drift NaN, normalized NaN
67 => drift NaN, normalized NaN
68 => drift NaN, normalized NaN
69 => drift NaN, normalized NaN
70 => drift NaN, normalized NaN
71 => drift NaN, normalized NaN
72 => drift NaN, normalized NaN
73 => drift NaN, normalized NaN
74 => drift NaN, normalized NaN
75 => drift NaN, normalized NaN
76 => drift NaN, normalized NaN
77 => drift NaN, normalized NaN
78 => drift NaN, normalized NaN
79 => drift NaN, normalized NaN
80 => drift NaN, normalized NaN
81 => drift NaN, normalized NaN
82 => drift NaN, normalized NaN
83 => drift NaN, normalized NaN
84 => drift NaN, normalized NaN
85 => drift NaN, normalized NaN
86 => drift NaN, normalized NaN
87 => drift NaN, normalized NaN
88 => drift NaN, normalized NaN
89 => drift NaN, normalized NaN
90 => drift NaN, normalized NaN
91 => drift NaN, normalized NaN
92 => drift NaN, normalized NaN
93 => drift NaN, normalized NaN
94 => drift NaN, normalized NaN
95 => drift NaN, normalized NaN
96 => drift NaN, normalized NaN
97 => drift NaN, normalized NaN
98 => drift NaN, normalized NaN
99 => drift NaN, normalized NaN
100 => drift NaN, normalized NaN
101 => drift NaN, normalized NaN
102 => drift NaN, normalized NaN
103 => drift NaN, normalized NaN
104 => drift NaN, normalized NaN
105 => drift NaN, normalized NaN
106 => drift NaN, normalized NaN
107 => drift NaN, normalized NaN
108 => drift NaN, normalized NaN
109 => drift NaN, normalized NaN
110 => drift NaN, normalized NaN
111 => drift NaN, normalized NaN
112 => drift NaN, normalized NaN
113 => drift 0.6363636363636364, normalized 0.0022172949002217295
114 => drift NaN, normalized NaN
115 => drift 0.23333333333333334, normalized 8.187134502923977E-4
116 => drift 0.3333333333333333, normalized 0.0011737089201877935
117 => drift 0.47560975609756095, normalized 0.0016805998448677065
118 => drift 0.4485981308411215, normalized 0.0015907735136209981
119 => drift 0.47333333333333333, normalized 0.0016844602609727166
120 => drift 0.378839590443686, normalized 0.0013529985372988786
121 => drift 0.33902439024390246, normalized 0.0012151411836699012
122 => drift 0.3227722772277228, normalized 0.0011610513569342547
123 => drift 0.31721194879089615, normalized 0.0011451694902198416
124 => drift 0.3599523241954708, normalized 0.0013041750876647492
125 => drift 0.3293023255813953, normalized 0.001197463002114165
126 => drift 0.33183183183183185, normalized 0.0012110650796782183
127 => drift 0.3162128712871287, normalized 0.0011582889058136584
128 => drift 0.28071065989847716, normalized 0.001032024484920872
129 => drift 0.26448362720403024, normalized 9.759543439263108E-4
130 => drift 0.23797648735304597, normalized 8.81394397603874E-4
131 => drift 0.20936812323168816, normalized 7.783201607125953E-4
132 => drift 0.22967064995628098, normalized 8.569800371503022E-4
133 => drift 0.21947449768160743, normalized 8.220018639760577E-4
134 => drift 0.20713938805245263, normalized 7.787195039565889E-4
135 => drift 0.2086720867208672, normalized 7.874418366825178E-4
136 => drift 0.18401298437817, normalized 6.970188802203409E-4
137 => drift 0.1820695102685624, normalized 6.922795067245719E-4
138 => drift 0.18333018333018333, normalized 6.997335241610051E-4
139 => drift 0.18483685220729368, normalized 7.081871732080218E-4
140 => drift 0.17323995576852194, normalized 6.663075221866228E-4
141 => drift 0.1602793114647613, normalized 6.188390404044837E-4
142 => drift 0.15158692562766463, normalized 5.875462233630412E-4
143 => drift 0.15260747525483823, normalized 5.938034056608492E-4
144 => drift 0.13668647630091318, normalized 5.339315480504421E-4
145 => drift 0.13648068669527896, normalized 5.352183791971724E-4
146 => drift 0.1263681592039801, normalized 4.975124378109452E-4
147 => drift 0.12886872998932764, normalized 5.093625691277772E-4
148 => drift 0.13435174304739522, normalized 5.331418374896636E-4
149 => drift 0.12923397602918185, normalized 5.148763985226368E-4
150 => drift 0.12575320932669637, normalized 5.030128373067855E-4
151 => drift 0.10952016613837579, normalized 4.398400246521116E-4
152 => drift 0.11243747157799, normalized 4.5337690152415325E-4
153 => drift 0.10790835181079084, normalized 4.3687591826231106E-4
154 => drift 0.10681379901435611, normalized 4.342024350177078E-4
155 => drift 0.0970699621287622, normalized 3.9620392705617225E-4
156 => drift 0.10014047762392134, normalized 4.104117935406612E-4
157 => drift 0.09953280520008125, normalized 4.096000213995113E-4
158 => drift 0.0910751804147255, normalized 3.763437207220062E-4
159 => drift 0.08737085856786606, normalized 3.62534682854216E-4
160 => drift 0.09110130538701967, normalized 3.795887724459153E-4
161 => drift 0.08960028614861844, normalized 3.748965947640939E-4
162 => drift 0.08470865611316941, normalized 3.5591872316457736E-4
163 => drift 0.08544410672070246, normalized 3.605236570493775E-4
164 => drift 0.08359966358284272, normalized 3.542358626391641E-4
165 => drift 0.08663819402074435, normalized 3.6867316604572066E-4
166 => drift 0.08154085221231701, normalized 3.4846518039451715E-4
167 => drift 0.0744036491437972, normalized 3.193289662823914E-4
168 => drift 0.07354685646500593, normalized 3.170123123491635E-4
169 => drift 0.07082521117608837, normalized 3.066026457839323E-4
170 => drift 0.07524737852606705, normalized 3.271625153307263E-4
171 => drift 0.07086500180962722, normalized 3.09454156373918E-4
172 => drift 0.07483534776000579, normalized 3.282252094737096E-4
173 => drift 0.06750909964974933, normalized 2.9739691475660495E-4
174 => drift 0.07373737373737374, normalized 3.262715652096183E-4
175 => drift 0.06356157112526539, normalized 2.824958716678462E-4
176 => drift 0.06728971962616823, normalized 3.004005340453939E-4
177 => drift 0.06359663013872173, normalized 2.851866822364203E-4
178 => drift 0.05660050773136395, normalized 2.5495724203317095E-4
179 => drift 0.06283076923076923, normalized 2.843021232161504E-4
180 => drift 0.05638606263854942, normalized 2.563002847206792E-4
181 => drift 0.05920037964171313, normalized 2.703213682270006E-4
182 => drift 0.05826687299131056, normalized 2.672792339050943E-4
183 => drift 0.0540626829138509, normalized 2.491367876214327E-4
184 => drift 0.058, normalized 2.685185185185185E-4
185 => drift 0.053706789957529165, normalized 2.4979902305827516E-4
186 => drift 0.050992505570184324, normalized 2.3828273630927254E-4
187 => drift 0.052138407579961264, normalized 2.447812562439496E-4
188 => drift 0.04948923931369632, normalized 2.3343980808347324E-4
189 => drift 0.050286058416139714, normalized 2.383225517352593E-4
