Average number of iterations: 2164.4
Median of last 9 normalized drift values: 0.0020069374618903978
0 => drift 0.06602239607301734, normalized 6.602239607301734E-4
1 => drift 0.14410283394722995, normalized 0.001455584181285151
2 => drift 0.19367209971236818, normalized 0.001976245915432328
3 => drift 0.29684456564082584, normalized 0.0030602532540291326
4 => drift 0.2672033238119969, normalized 0.0027833679563749676
5 => drift 0.2934202726733847, normalized 0.0030886344491935233
6 => drift 0.3475609756097561, normalized 0.0036974571873378305
7 => drift 0.35276338514680483, normalized 0.0037931546789979013
8 => drift 0.5313253012048192, normalized 0.005775275013095861
9 => drift 0.3877973112719752, normalized 0.0042615089150766505
10 => drift 0.3937442502299908, normalized 0.004374936113666564
11 => drift 0.5128354725787632, normalized 0.0057621963211096985
12 => drift 0.4232081911262799, normalized 0.004809183990071362
13 => drift 0.4464621164683782, normalized 0.0051317484651537725
14 => drift 0.4860661049902787, normalized 0.005651931453375334
15 => drift 0.4334103156274057, normalized 0.005098944889734184
16 => drift 0.5203252032520326, normalized 0.006194347657762293
17 => drift 0.529153605015674, normalized 0.00637534463874306
18 => drift 0.5672061928219564, normalized 0.006917148692950688
19 => drift 0.3812461443553362, normalized 0.0047067425229053855
20 => drift 0.4705056179775281, normalized 0.005881320224719102
21 => drift 0.47289719626168225, normalized 0.005986040459008636
22 => drift 0.5469534050179211, normalized 0.007012223141255399
23 => drift 0.5522486772486772, normalized 0.0071720607434893145
24 => drift 0.5038979447200567, normalized 0.006630236114737588
25 => drift 0.4659885568976478, normalized 0.0062131807586353035
26 => drift 0.5376955903271693, normalized 0.007266156626042828
27 => drift 0.4619736015084852, normalized 0.006328405500116235
28 => drift 0.48356164383561645, normalized 0.006716133942161339
29 => drift 0.5055147058823529, normalized 0.007119925434962717
30 => drift 0.46524663677130046, normalized 0.006646380525304293
31 => drift 0.5284653465346535, normalized 0.007658918065719616
32 => drift 0.4424778761061947, normalized 0.006507027589796981
33 => drift 0.41225626740947074, normalized 0.006153078618051802
34 => drift 0.44293903074517976, normalized 0.006711197435533027
35 => drift 0.4135, normalized 0.006361538461538461
36 => drift 0.42204164550533263, normalized 0.006594400711020822
37 => drift 0.4262295081967213, normalized 0.0067655477491543065
38 => drift 0.3913255360623782, normalized 0.006311702194554487
39 => drift 0.386615515771526, normalized 0.006337959274943049
40 => drift 0.3509075194468453, normalized 0.005848458657447421
41 => drift 0.35047846889952156, normalized 0.00594031303219528
42 => drift 0.3333333333333333, normalized 0.005747126436781609
43 => drift 0.34015525758645027, normalized 0.0059676360980079
44 => drift 0.3510600071864894, normalized 0.006268928699758739
45 => drift 0.29020866773675763, normalized 0.005276521231577411
46 => drift 0.3214167494207216, normalized 0.00595216202630966
47 => drift 0.3111492281303602, normalized 0.005870740153403023
48 => drift 0.2861812778603269, normalized 0.005503486112698594
49 => drift 0.28102625298329353, normalized 0.005510318685946932
50 => drift 0.2878521126760563, normalized 0.005757042253521126
51 => drift 0.2711048158640227, normalized 0.005532751344163729
52 => drift 0.24136152656008253, normalized 0.005028365136668386
53 => drift 0.25539014373716634, normalized 0.0054338328454716246
54 => drift 0.24188011618695537, normalized 0.0052582633953685955
55 => drift 0.24073133570340274, normalized 0.0053495852378533945
56 => drift 0.2359785897137538, normalized 0.0053631497662216775
57 => drift 0.20913965959431102, normalized 0.004863713013821187
58 => drift 0.21936327954644572, normalized 0.0052229352272963265
59 => drift 0.21611395504117517, normalized 0.005271072074175005
60 => drift 0.20046228199201513, normalized 0.005011557049800378
61 => drift 0.20300751879699247, normalized 0.005205320994794678
62 => drift 0.18606024808033078, normalized 0.004896322317903441
63 => drift 0.1815229159148322, normalized 0.004906024754454924
64 => drift 0.16380199381230665, normalized 0.004550055383675184
65 => drift 0.1673582295988935, normalized 0.004781663702825528
66 => drift 0.1447922937989163, normalized 0.004258596876438715
67 => drift 0.14500288850375506, normalized 0.004394026924356214
68 => drift 0.14078645235361653, normalized 0.004399576636050517
69 => drift 0.13136589187777487, normalized 0.0042376094154120926
70 => drift 0.1296724208237053, normalized 0.004322414027456843
71 => drift 0.12121571886501246, normalized 0.004179852374655602
72 => drift 0.11081824432729773, normalized 0.003957794440260633
73 => drift 0.10790656870270864, normalized 0.003996539581581801
74 => drift 0.10011459527034067, normalized 0.003850561356551564
75 => drift 0.09763687639793835, normalized 0.003905475055917534
76 => drift 0.08994028479559026, normalized 0.0037475118664829273
77 => drift 0.08307666694414384, normalized 0.0036120289975714714
78 => drift 0.08004455760661999, normalized 0.0036383889821190907
79 => drift 0.07679814385150813, normalized 0.0036570544691194346
80 => drift 0.06829951014695591, normalized 0.0034149755073477955
81 => drift 0.06029055690072639, normalized 0.0031731872053013892
82 => drift 0.056331577742157087, normalized 0.003129532096786505
83 => drift 0.0520078302735305, normalized 0.0030592841337370885
84 => drift 0.0482791586998088, normalized 0.00301744741873805
85 => drift 0.044442428914788445, normalized 0.0029628285943192295
86 => drift 0.03784086664176317, normalized 0.0027029190458402264
87 => drift 0.03712348560631321, normalized 0.00285565273894717
88 => drift 0.031011179182719638, normalized 0.002584264931893303
89 => drift 0.02789136749485321, normalized 0.002535578863168474
90 => drift 0.02321173690244987, normalized 0.0023211736902449868
91 => drift 0.021605870925965897, normalized 0.002400652325107322
92 => drift 0.018211405898593918, normalized 0.0022764257373242397
93 => drift 0.016059236465044716, normalized 0.002294176637863531
94 => drift 0.012041624771342387, normalized 0.0020069374618903978
95 => drift 0.009910871326653624, normalized 0.001982174265330725
96 => drift 0.00770407690167836, normalized 0.00192601922541959
97 => drift 0.005174060158179893, normalized 0.0017246867193932978
98 => drift 0.0036452669911769212, normalized 0.0018226334955884606
99 => drift 0.001686169520075903, normalized 0.001686169520075903
