Average number of iterations: 3747.972
Median of last 9 normalized drift values: 0.0022065352316751555
0 => drift 0.0031549539259419328, normalized 3.943692407427416E-5
1 => drift 0.006165742226489949, normalized 7.804736995556898E-5
2 => drift 0.009103738343617699, normalized 1.1671459414894485E-4
3 => drift 0.012014117479293176, normalized 1.560274997310802E-4
4 => drift 0.013891432677270742, normalized 1.8278200891145712E-4
5 => drift 0.018173345759552657, normalized 2.4231127679403544E-4
6 => drift 0.018783593734949044, normalized 2.538323477695817E-4
7 => drift 0.023157943151504, normalized 3.1723209796580824E-4
8 => drift 0.024220536896593235, normalized 3.3639634578601715E-4
9 => drift 0.026716508163377495, normalized 3.76288847371514E-4
10 => drift 0.029565520446096654, normalized 4.223645778013808E-4
11 => drift 0.032991027259390675, normalized 4.7813082984624164E-4
12 => drift 0.031671029947002105, normalized 4.657504403970898E-4
13 => drift 0.03438733844025242, normalized 5.132438573172003E-4
14 => drift 0.037941298368561846, normalized 5.748681570994219E-4
15 => drift 0.037903073731849896, normalized 5.831242112592292E-4
16 => drift 0.040191426369793566, normalized 6.279910370280245E-4
17 => drift 0.037799007070859036, normalized 5.999842392199847E-4
18 => drift 0.043099025141098, normalized 6.951455667919032E-4
19 => drift 0.04169556171983357, normalized 6.835337986857962E-4
20 => drift 0.044153063955044154, normalized 7.358843992507359E-4
21 => drift 0.04516447959733957, normalized 7.654996541921961E-4
22 => drift 0.04485367854863707, normalized 7.733392853213288E-4
23 => drift 0.04984549921483208, normalized 8.744824423654751E-4
24 => drift 0.048852237654320986, normalized 8.723613866843033E-4
25 => drift 0.0517250297418921, normalized 9.4045508621622E-4
26 => drift 0.05109967715899919, normalized 9.462903177592443E-4
27 => drift 0.053657491699689405, normalized 0.0010124055037677247
28 => drift 0.052702267110776836, normalized 0.0010135051367457083
29 => drift 0.05040935070284743, normalized 9.884186412323025E-4
30 => drift 0.0511955700981626, normalized 0.001023911401963252
31 => drift 0.05461588825840245, normalized 0.0011146099644571928
32 => drift 0.053812142780114314, normalized 0.0011210863079190482
33 => drift 0.05465428507496084, normalized 0.001162857129254486
34 => drift 0.0571787981016639, normalized 0.0012430173500361718
35 => drift 0.05313231089160385, normalized 0.0011807180198134188
36 => drift 0.05125628140703518, normalized 0.0011649154865235269
37 => drift 0.04963650037603409, normalized 0.0011543372180473045
38 => drift 0.05630252100840336, normalized 0.0013405362144857944
39 => drift 0.055645684620376376, normalized 0.00135721182000918
40 => drift 0.053665067499721074, normalized 0.0013416266874930268
41 => drift 0.05324661590524535, normalized 0.0013652978437242397
42 => drift 0.053142428142428144, normalized 0.0013984849511165301
43 => drift 0.05056519983851433, normalized 0.0013666270226625496
44 => drift 0.0562338971659012, normalized 0.001562052699052811
45 => drift 0.048845078711196116, normalized 0.0013955736774627463
46 => drift 0.05185848162577656, normalized 0.0015252494595816635
47 => drift 0.053087009608748736, normalized 0.001608697260871174
48 => drift 0.05060947384662861, normalized 0.001581546057707144
49 => drift 0.049695942578008176, normalized 0.0016030949218712315
50 => drift 0.048335329341317367, normalized 0.0016111776447105789
51 => drift 0.04771854803440401, normalized 0.0016454671736001382
52 => drift 0.04776374513341563, normalized 0.0017058480404791296
53 => drift 0.04770720592423811, normalized 0.0017669335527495597
54 => drift 0.043480125209039065, normalized 0.001672312508039964
55 => drift 0.04203838287131729, normalized 0.0016815353148526915
56 => drift 0.04214495182237118, normalized 0.0017560396592654658
57 => drift 0.0409387973200707, normalized 0.0017799477095682913
58 => drift 0.039148001412152356, normalized 0.001779454609643289
59 => drift 0.03884237489008678, normalized 0.001849636899527942
60 => drift 0.03823518098242105, normalized 0.0019117590491210523
61 => drift 0.035538996166660695, normalized 0.001870473482455826
62 => drift 0.03203676137466831, normalized 0.0017798200763704615
63 => drift 0.032714412024756855, normalized 0.0019243771779268739
64 => drift 0.0304892818214848, normalized 0.0019055801138428
65 => drift 0.030195054523114728, normalized 0.002013003634874315
66 => drift 0.02663412279054797, normalized 0.001902437342181998
67 => drift 0.02540079648728684, normalized 0.0019539074220989877
68 => drift 0.024654063535373222, normalized 0.002054505294614435
69 => drift 0.02273249138920781, normalized 0.002066590126291619
70 => drift 0.01963609093779602, normalized 0.001963609093779602
71 => drift 0.018362201271650953, normalized 0.0020402445857389947
72 => drift 0.0167399989885197, normalized 0.0020924998735649624
73 => drift 0.015445746621726089, normalized 0.0022065352316751555
74 => drift 0.01338222305489388, normalized 0.00223037050914898
75 => drift 0.010791445485724272, normalized 0.0021582890971448545
76 => drift 0.008880315744559806, normalized 0.0022200789361399515
77 => drift 0.007022166779965099, normalized 0.0023407222599883663
78 => drift 0.0043884191557139775, normalized 0.0021942095778569887
79 => drift 0.002140474246816607, normalized 0.002140474246816607
