Average number of iterations: 44100.106
Median of last 9 normalized drift values: 1.076540524107295E-4
0 => drift 1.2691570881226053, normalized 0.006345785440613027
1 => drift NaN, normalized NaN
2 => drift 0.9538461538461539, normalized 0.004817404817404817
3 => drift NaN, normalized NaN
4 => drift NaN, normalized NaN
5 => drift NaN, normalized NaN
6 => drift NaN, normalized NaN
7 => drift NaN, normalized NaN
8 => drift NaN, normalized NaN
9 => drift NaN, normalized NaN
10 => drift NaN, normalized NaN
11 => drift NaN, normalized NaN
12 => drift NaN, normalized NaN
13 => drift NaN, normalized NaN
14 => drift NaN, normalized NaN
15 => drift NaN, normalized NaN
16 => drift NaN, normalized NaN
17 => drift NaN, normalized NaN
18 => drift NaN, normalized NaN
19 => drift NaN, normalized NaN
20 => drift NaN, normalized NaN
21 => drift NaN, normalized NaN
22 => drift NaN, normalized NaN
23 => drift NaN, normalized NaN
24 => drift NaN, normalized NaN
25 => drift NaN, normalized NaN
26 => drift NaN, normalized NaN
27 => drift NaN, normalized NaN
28 => drift NaN, normalized NaN
29 => drift NaN, normalized NaN
30 => drift NaN, normalized NaN
31 => drift NaN, normalized NaN
32 => drift NaN, normalized NaN
33 => drift NaN, normalized NaN
34 => drift NaN, normalized NaN
35 => drift NaN, normalized NaN
36 => drift NaN, normalized NaN
37 => drift NaN, normalized NaN
38 => drift NaN, normalized NaN
39 => drift NaN, normalized NaN
40 => drift NaN, normalized NaN
41 => drift NaN, normalized NaN
42 => drift NaN, normalized NaN
43 => drift NaN, normalized NaN
44 => drift NaN, normalized NaN
45 => drift NaN, normalized NaN
46 => drift NaN, normalized NaN
47 => drift NaN, normalized NaN
48 => drift NaN, normalized NaN
49 => drift NaN, normalized NaN
50 => drift NaN, normalized NaN
51 => drift NaN, normalized NaN
52 => drift 0.5, normalized 0.0033783783783783786
53 => drift 0.23529411764705882, normalized 0.0016006402561024409
54 => drift 0.6428571428571429, normalized 0.004403131115459883
55 => drift 0.5384615384615384, normalized 0.003713527851458886
56 => drift 0.38323353293413176, normalized 0.0026613439787092482
57 => drift 0.34285714285714286, normalized 0.0023976023976023976
58 => drift 0.3944954128440367, normalized 0.002778136710169273
59 => drift 0.34891485809682804, normalized 0.0024745734616796315
60 => drift 0.33288590604026846, normalized 0.0023777564717162034
61 => drift 0.3026785714285714, normalized 0.0021775436793422405
62 => drift 0.2667404537908135, normalized 0.001932901839063866
63 => drift 0.250384024577573, normalized 0.0018276206173545473
64 => drift 0.21706738909583476, normalized 0.0015960837433517262
65 => drift 0.2112792297111417, normalized 0.001565031331193642
66 => drift 0.2016008004002001, normalized 0.0015044835850761202
67 => drift 0.1867739052725648, normalized 0.0014043150772373293
68 => drift 0.17312072892938496, normalized 0.0013115206737074618
69 => drift 0.1569336778639104, normalized 0.001197967006594736
70 => drift 0.14827373612823674, normalized 0.0011405672009864366
71 => drift 0.14522003034901365, normalized 0.0011257366693721987
72 => drift 0.13986720554272516, normalized 0.0010927125433025404
73 => drift 0.12258146639511201, normalized 9.652083968119057E-4
74 => drift 0.11809570672899496, normalized 9.372675137221822E-4
75 => drift 0.11391688370512966, normalized 9.113350696410373E-4
76 => drift 0.1072195960464117, normalized 8.646741616646105E-4
77 => drift 0.10472193074501573, normalized 8.513978109350872E-4
78 => drift 0.0900184842883549, normalized 7.37856428593073E-4
