Average number of iterations: 1686.901
Median of last 9 normalized drift values: 0.004167273786973626
0 => drift 0.006205088886115222, normalized 1.2410177772230444E-4
1 => drift 0.01212781319985804, normalized 2.4750639183383755E-4
2 => drift 0.018084914182475157, normalized 3.767690454682324E-4
3 => drift 0.024634353317026906, normalized 5.241351769580193E-4
4 => drift 0.029217215910776258, normalized 6.351568676255708E-4
5 => drift 0.034981343283582086, normalized 7.773631840796019E-4
6 => drift 0.03945523733226517, normalized 8.96709939369663E-4
7 => drift 0.04302558398220245, normalized 0.0010005949763302895
8 => drift 0.04931058658565085, normalized 0.0011740615853726394
9 => drift 0.049105347808604746, normalized 0.0011976914099659695
10 => drift 0.05323154691287976, normalized 0.0013307886728219941
11 => drift 0.05894499718415618, normalized 0.001511410184209133
12 => drift 0.05785599263860133, normalized 0.0015225261220684562
13 => drift 0.06262982312582614, normalized 0.0016926979223196256
14 => drift 0.06301633045148895, normalized 0.001750453623652471
15 => drift 0.06213151927437642, normalized 0.0017751862649821835
16 => drift 0.06672275433600829, normalized 0.0019624339510590674
17 => drift 0.0676000274517878, normalized 0.002048485680357206
18 => drift 0.06757028786150439, normalized 0.002111571495672012
19 => drift 0.06419903735339977, normalized 0.0020709366888193473
20 => drift 0.06581598388179986, normalized 0.002193866129393329
21 => drift 0.07189072609633357, normalized 0.0024789905550459852
22 => drift 0.06953483592519011, normalized 0.002483386997328218
23 => drift 0.074891839474862, normalized 0.0027737718324022964
24 => drift 0.06727996704654675, normalized 0.002587691040251798
25 => drift 0.07247219597295922, normalized 0.0028988878389183685
26 => drift 0.06666666666666667, normalized 0.002777777777777778
27 => drift 0.06595268758896496, normalized 0.0028675081560419545
28 => drift 0.0651622553163816, normalized 0.0029619206961991637
29 => drift 0.0684931506849315, normalized 0.0032615786040443573
30 => drift 0.06178460760134067, normalized 0.0030892303800670335
31 => drift 0.05632275736133303, normalized 0.0029643556505964752
32 => drift 0.05857449399756423, normalized 0.003254138555420235
33 => drift 0.057662767340186695, normalized 0.0033919274905992174
34 => drift 0.05281559569846904, normalized 0.003300974731154315
35 => drift 0.051434275506987495, normalized 0.003428951700465833
36 => drift 0.0471881366371346, normalized 0.003370581188366757
37 => drift 0.04497879635477759, normalized 0.0034599074119059684
38 => drift 0.043545411643571154, normalized 0.0036287843036309293
39 => drift 0.04149342384386932, normalized 0.0037721294403517567
40 => drift 0.0372606392829364, normalized 0.0037260639282936403
41 => drift 0.03491128510882839, normalized 0.00387903167875871
42 => drift 0.03237869973790194, normalized 0.004047337467237742
43 => drift 0.028896519613549065, normalized 0.004128074230507009
44 => drift 0.024239450441609422, normalized 0.004039908406934903
45 => drift 0.020836368934868132, normalized 0.004167273786973626
46 => drift 0.016556291390728478, normalized 0.0041390728476821195
47 => drift 0.01380695194571389, normalized 0.004602317315237963
48 => drift 0.008801942986810382, normalized 0.004400971493405191
49 => drift 0.004224934316467498, normalized 0.004224934316467498
