Average number of iterations: 13089.71
Median of last 9 normalized drift values: 3.883661049598235E-4
0 => drift 0.028083524332391665, normalized 7.020881083097916E-5
1 => drift 0.0693835015357613, normalized 1.73893487558299E-4
2 => drift 0.09844428160757568, normalized 2.4734744122506454E-4
3 => drift 0.10733350835739915, normalized 2.703614820085621E-4
4 => drift 0.13386635370057948, normalized 3.3804634772873605E-4
5 => drift 0.18269730685244878, normalized 4.625248274745539E-4
6 => drift 0.2293773283661522, normalized 5.821759603201833E-4
7 => drift 0.19726310353730958, normalized 5.019417392806859E-4
8 => drift 0.19108826049700087, normalized 4.874700522882675E-4
9 => drift 0.22114895780376206, normalized 5.655983575543786E-4
10 => drift 0.2160351201478743, normalized 5.5393620550737E-4
11 => drift 0.3267389917038928, normalized 8.399459940974109E-4
12 => drift 0.2347266881028939, normalized 6.0496569098684E-4
13 => drift 0.2656897981752834, normalized 6.865369461893627E-4
14 => drift 0.41083916083916083, normalized 0.0010643501576144063
15 => drift 0.4361531038919267, normalized 0.0011328652049140953
16 => drift 0.4179456906729634, normalized 0.0010884002361275088
17 => drift 0.30207394048692515, normalized 7.887048054488907E-4
18 => drift 0.43262927895120173, normalized 0.0011325373794534076
19 => drift 0.5455508474576272, normalized 0.0014318919880777616
20 => drift 0.5373518804739825, normalized 0.0014140838959841645
21 => drift 0.3709813874788494, normalized 9.788427110259878E-4
22 => drift 0.4114097641250686, normalized 0.0010883856193784883
23 => drift 0.515986769570011, normalized 0.0013686651712732387
24 => drift 0.571156289707751, normalized 0.0015190326853929549
25 => drift 0.36814469078179696, normalized 9.817191754181252E-4
26 => drift 0.3389008620689655, normalized 9.061520376175549E-4
27 => drift 0.4228641671788568, normalized 0.001133684094313289
28 => drift 0.340032154340836, normalized 9.140649310237527E-4
29 => drift 0.5203671830177854, normalized 0.00140260696231209
30 => drift 0.6062138728323699, normalized 0.0016384158725199188
31 => drift 0.4381806534272902, normalized 0.0011874814456024124
32 => drift 0.39788499669530736, normalized 0.0010812092301502917
33 => drift 0.5318491032776747, normalized 0.0014491801179228193
34 => drift 0.6996168582375479, normalized 0.0019115214705943933
35 => drift 0.43840808591282376, normalized 0.0012011180435967774
36 => drift 0.7990970654627539, normalized 0.002195321608414159
37 => drift 0.43153219837157664, normalized 0.0011887939349079246
38 => drift 0.3256198347107438, normalized 8.995023058307839E-4
39 => drift 0.6850625459896983, normalized 0.0018976801827969483
40 => drift 0.5300687285223368, normalized 0.001472413134784269
41 => drift 0.6771050800278358, normalized 0.001886086573893693
42 => drift 0.5014749262536873, normalized 0.001400767950429294
43 => drift 0.6293508936970837, normalized 0.0017628876574148004
44 => drift 0.5626406601650412, normalized 0.0015804512925984304
45 => drift 0.5667808219178082, normalized 0.0015965656955431217
46 => drift 0.5040257648953301, normalized 0.0014238015957495202
47 => drift 0.7740164684354987, normalized 0.0021926812136982966
48 => drift 0.6085552865213882, normalized 0.0017288502457993985
49 => drift 0.46160267111853087, normalized 0.0013151073251240195
50 => drift 0.5414244186046512, normalized 0.0015469269102990034
51 => drift 0.6881720430107527, normalized 0.0019718396647872573
52 => drift 0.7355442176870748, normalized 0.002113632809445617
53 => drift 0.5943152454780362, normalized 0.0017127240503689804
54 => drift 0.7168284789644013, normalized 0.002071758609723703
55 => drift 0.523442967109867, normalized 0.001517225991622803
56 => drift 0.7567567567567568, normalized 0.0021998742928975488
57 => drift 0.5848252344416027, normalized 0.0017050298380221654
58 => drift 0.5062388591800356, normalized 0.0014802305823977651
59 => drift 0.5986937590711175, normalized 0.0017557001732290837
60 => drift 0.6361904761904762, normalized 0.0018711484593837535
61 => drift 0.6917808219178082, normalized 0.00204065139208793
62 => drift 0.8245445829338447, normalized 0.0024394810145971736
63 => drift 0.5133744855967078, normalized 0.0015233664261029905
64 => drift 0.5343367826904986, normalized 0.0015902880437217218
65 => drift 0.7479747974797479, normalized 0.0022327605894917847
66 => drift 0.852343059239611, normalized 0.0025519253270647035
67 => drift 0.7018701870187019, normalized 0.002107718279335441
68 => drift 0.6344892221180881, normalized 0.0019111121148135185
69 => drift 0.5866314863676341, normalized 0.0017723005630442116
70 => drift 0.5806691449814126, normalized 0.0017596034696406443
71 => drift 0.645240032546786, normalized 0.0019612159043975257
72 => drift 0.8520930232558139, normalized 0.0025978445830969936
73 => drift 0.5416, normalized 0.001656269113149847
74 => drift 0.5236220472440944, normalized 0.0016062025989082651
75 => drift 0.6851098454027664, normalized 0.0021080302935469735
76 => drift 0.7333333333333333, normalized 0.0022633744855967077
77 => drift 0.6993464052287581, normalized 0.0021651591493150406
78 => drift 0.47205438066465255, normalized 0.001466007393368486
79 => drift 0.5980825958702065, normalized 0.0018631856569165312
80 => drift 0.6804894629503739, normalized 0.0021265295717199186
81 => drift 0.5752351097178683, normalized 0.0018032448580497437
82 => drift 0.6235186873290793, normalized 0.001960750589085155
83 => drift 0.5400667779632721, normalized 0.0017036806875813
84 => drift 0.6774193548387096, normalized 0.002143732135565537
85 => drift 0.5339141257000622, normalized 0.001694965478412896
86 => drift 0.6452775775054074, normalized 0.0020550241321828262
87 => drift 0.5914302957151478, normalized 0.0018895536604317822
88 => drift 0.5333333333333333, normalized 0.0017094017094017094
89 => drift 0.5765973826020016, normalized 0.0018540108765337671
90 => drift 0.5350076103500762, normalized 0.001725831001129278
91 => drift 0.5137861466039004, normalized 0.0016627383385239495
92 => drift 0.5026845637583892, normalized 0.0016320927394752897
93 => drift 0.5438365194462755, normalized 0.0017714544607370538
94 => drift 0.5496323529411765, normalized 0.0017961841599384853
95 => drift 0.5748129675810474, normalized 0.001884632680593598
96 => drift 0.585043017868961, normalized 0.0019244836114110557
97 => drift 0.49363057324840764, normalized 0.0016291438061003553
98 => drift 0.5039370078740157, normalized 0.0016686655889868072
99 => drift 0.585243553008596, normalized 0.0019443307408923455
100 => drift 0.5437017994858612, normalized 0.0018123393316195372
101 => drift 0.5734002509410289, normalized 0.0019177265917760162
102 => drift 0.47849145550972305, normalized 0.0016056760252004128
103 => drift 0.44612970711297073, normalized 0.0015021202259695985
104 => drift 0.5038945476333133, normalized 0.0017023464447071396
105 => drift 0.4931506849315068, normalized 0.0016716972370559554
106 => drift 0.5283937263385614, normalized 0.0017972575725801409
107 => drift 0.5320197044334976, normalized 0.0018157669093293433
108 => drift 0.5316742081447964, normalized 0.0018208020826876589
109 => drift 0.48225352112676056, normalized 0.0016572285949373216
110 => drift 0.481053307642903, normalized 0.0016588045091134587
111 => drift 0.5498220640569395, normalized 0.0019024984915465032
112 => drift 0.5488157134604275, normalized 0.0019056101161820398
113 => drift 0.5532811559301626, normalized 0.001927808905680009
114 => drift 0.4860215053763441, normalized 0.00169937589292428
115 => drift 0.5088582677165354, normalized 0.0017854676060229313
116 => drift 0.5609487038058467, normalized 0.001975171492274108
117 => drift 0.38429098576700055, normalized 0.00135791867762191
118 => drift 0.5043394406943105, normalized 0.0017884377329585477
119 => drift 0.5139400315623356, normalized 0.0018289680838517281
120 => drift 0.45210526315789473, normalized 0.0016146616541353384
121 => drift 0.4983425414364641, normalized 0.0017861739836432405
122 => drift 0.5415977961432507, normalized 0.001948193511306657
123 => drift 0.4664117968323321, normalized 0.0016837971004777332
124 => drift 0.5802766085387854, normalized 0.0021024514802129904
125 => drift 0.45265348595213317, normalized 0.0016460126761895751
126 => drift 0.4717975751186083, normalized 0.0017218889602868916
127 => drift 0.5106382978723404, normalized 0.0018704699555763384
128 => drift 0.4286452947259566, normalized 0.0015759018188454285
129 => drift 0.501085776330076, normalized 0.0018490250049080295
130 => drift 0.5, normalized 0.001851851851851852
131 => drift 0.4563380281690141, normalized 0.0016964238965390859
132 => drift 0.4925575101488498, normalized 0.0018379011572718276
133 => drift 0.5628964059196617, normalized 0.002108226239399482
134 => drift 0.3913690476190476, normalized 0.0014713122090941639
135 => drift 0.5155555555555555, normalized 0.0019454926624737944
136 => drift 0.4192456479690522, normalized 0.0015880516968524705
137 => drift 0.4705087798289059, normalized 0.0017890067674102884
138 => drift 0.4321556579621096, normalized 0.001649449076191258
139 => drift 0.42149104539775095, normalized 0.0016149082199147546
140 => drift 0.4523002421307506, normalized 0.0017396163158875024
141 => drift 0.45022222222222225, normalized 0.0017383097383097384
142 => drift 0.4345574387947269, normalized 0.0016843311581190967
143 => drift 0.4107142857142857, normalized 0.0015981100611450806
144 => drift 0.4180602006688963, normalized 0.0016330476588628763
145 => drift 0.4266725742135578, normalized 0.0016732257812296385
146 => drift 0.4365832614322692, normalized 0.0017188317379223197
147 => drift 0.43577981651376146, normalized 0.001722449867643326
148 => drift 0.43118856121537086, normalized 0.0017110657191086146
149 => drift 0.43206039076376557, normalized 0.0017213561385010581
150 => drift 0.42973088423750533, normalized 0.0017189235369500214
151 => drift 0.4101321585903084, normalized 0.0016471171027723228
152 => drift 0.48111249481112495, normalized 0.0019399697371416328
153 => drift 0.4095197255574614, normalized 0.0016579745973986293
154 => drift 0.3834296724470135, normalized 0.0015586572050691604
155 => drift 0.40764818355640536, normalized 0.00166387013696492
156 => drift 0.3765586034912718, normalized 0.001543272965128163
157 => drift 0.41874208526804557, normalized 0.0017232184578931916
158 => drift 0.4236999147485081, normalized 0.0017508260940020995
159 => drift 0.42690311418685123, normalized 0.001771382216542951
160 => drift 0.3973927670311186, normalized 0.001655803195962994
161 => drift 0.4066437571592211, normalized 0.0017014383144737283
162 => drift 0.3599214145383104, normalized 0.0015122748510013042
163 => drift 0.37129109863672816, normalized 0.0015666291081718488
164 => drift 0.37115839243498816, normalized 0.0015727050526906279
165 => drift 0.3718000812677773, normalized 0.001582128005394797
166 => drift 0.40307935254638766, normalized 0.0017225613356683233
167 => drift 0.3347425057647963, normalized 0.0014366631148703705
168 => drift 0.37260571015540295, normalized 0.0016060590954974265
169 => drift 0.3738496932515337, normalized 0.0016183969404828299
170 => drift 0.3345441336723574, normalized 0.0014545397116189453
171 => drift 0.32856618995232856, normalized 0.0014347868556870242
172 => drift 0.34680620714543486, normalized 0.00152107985590103
173 => drift 0.37579617834394907, normalized 0.0016554897724403042
174 => drift 0.3440205193972427, normalized 0.001522214687598419
175 => drift 0.3562680115273775, normalized 0.0015834133845661223
176 => drift 0.35534256301029465, normalized 0.0015863507277245298
177 => drift 0.3481923481923482, normalized 0.001561400664539678
178 => drift 0.3284403669724771, normalized 0.0014794611124886354
179 => drift 0.3217306441119063, normalized 0.0014557947697371328
180 => drift 0.3581395348837209, normalized 0.001627906976744186
181 => drift 0.3596077006901562, normalized 0.001642044295388841
182 => drift 0.34116409537166903, normalized 0.0015649729145489405
183 => drift 0.3409732016925247, normalized 0.001571305076924077
184 => drift 0.3521373510861948, normalized 0.001630265514287939
185 => drift 0.2998700454840806, normalized 0.0013947443976003748
186 => drift 0.329608938547486, normalized 0.0015402286848013366
187 => drift 0.3013056578506863, normalized 0.001414580553289607
188 => drift 0.3217869860796374, normalized 0.0015178631418850822
189 => drift 0.31302717900656046, normalized 0.0014835411327325141
190 => drift 0.316950852557673, normalized 0.0015092897740841573
191 => drift 0.30667892156862747, normalized 0.0014673632610939114
192 => drift 0.28074385122975404, normalized 0.0013497300539892022
193 => drift 0.2964062964062964, normalized 0.0014319144753927363
194 => drift 0.2957579353307624, normalized 0.0014357181326736038
195 => drift 0.32241653418124006, normalized 0.0015727635813719027
196 => drift 0.3055555555555556, normalized 0.0014978213507625274
197 => drift 0.2986773300522916, normalized 0.001471316896809318
198 => drift 0.3003847292098254, normalized 0.0014870531149001258
199 => drift 0.31650544135429265, normalized 0.001574653937086033
200 => drift 0.2917668269230769, normalized 0.0014588341346153846
201 => drift 0.2612005856515373, normalized 0.0013125657570429012
202 => drift 0.2853745541022592, normalized 0.0014412856267790868
203 => drift 0.2702180513386696, normalized 0.001371665235221673
204 => drift 0.2717391304347826, normalized 0.0013864241348713398
205 => drift 0.2658522396742292, normalized 0.0013633448188422011
206 => drift 0.26095674591807505, normalized 0.001345137865557088
207 => drift 0.2827846735024285, normalized 0.0014652055621887485
208 => drift 0.28646408839779003, normalized 0.0014920004604051563
209 => drift 0.241701244813278, normalized 0.0012654515435250157
210 => drift 0.2593049051022923, normalized 0.0013647626584331175
211 => drift 0.27262753702687875, normalized 0.0014424737408829564
212 => drift 0.25740833751883474, normalized 0.0013691932846746529
213 => drift 0.2286706349206349, normalized 0.0012228376198964435
214 => drift 0.25167369204066453, normalized 0.0013530843658100243
215 => drift 0.25444839857651247, normalized 0.0013753967490622296
