Average number of iterations: 3866.709
Median of last 9 normalized drift values: 0.002105263157894737
0 => drift 0.0032380229234452314, normalized 3.2380229234452314E-5
1 => drift 0.0067478450859967225, normalized 6.816005137370427E-5
2 => drift 0.009627708423740274, normalized 9.82419226912273E-5
3 => drift 0.01187877557236408, normalized 1.2246160383880495E-4
4 => drift 0.01524385744853538, normalized 1.587901817555769E-4
5 => drift 0.01830135367227465, normalized 1.9264582812920683E-4
6 => drift 0.02161275898047399, normalized 2.2992296787738287E-4
7 => drift 0.02462419470293486, normalized 2.6477628712833184E-4
8 => drift 0.028492028667544245, normalized 3.096959637776548E-4
9 => drift 0.02966430232892054, normalized 3.259813442738521E-4
10 => drift 0.031211432283208836, normalized 3.4679369203565374E-4
11 => drift 0.03265011168046249, normalized 3.6685518742092684E-4
12 => drift 0.04001712795359882, normalized 4.5474009038180477E-4
13 => drift 0.03948732838359119, normalized 4.5387733774242744E-4
14 => drift 0.03725107379929715, normalized 4.331520209220599E-4
15 => drift 0.041666666666666664, normalized 4.901960784313725E-4
16 => drift 0.046685557671761045, normalized 5.557804484733458E-4
17 => drift 0.043736749930869206, normalized 5.269487943478217E-4
18 => drift 0.0497695400608022, normalized 6.069456104975878E-4
19 => drift 0.04816863792445632, normalized 5.946745422772385E-4
20 => drift 0.04952292055590127, normalized 6.190365069487658E-4
21 => drift 0.05581446351225396, normalized 7.065121963576451E-4
22 => drift 0.05563753620812155, normalized 7.133017462579686E-4
23 => drift 0.055660168365086395, normalized 7.228593294167064E-4
24 => drift 0.05713151026892091, normalized 7.517303982752751E-4
25 => drift 0.06277506112469437, normalized 8.37000814995925E-4
26 => drift 0.059742361067894705, normalized 8.073292036201987E-4
27 => drift 0.0595635583114715, normalized 8.159391549516644E-4
28 => drift 0.061478933791917455, normalized 8.53874080443298E-4
29 => drift 0.061009463722397475, normalized 8.592882214422179E-4
30 => drift 0.062412787010021564, normalized 8.916112430003081E-4
31 => drift 0.06375135066420899, normalized 9.239326183218694E-4
32 => drift 0.06502198018502722, normalized 9.562055909562827E-4
33 => drift 0.06129519969761875, normalized 9.148537268301306E-4
34 => drift 0.06432296696928723, normalized 9.745904086255641E-4
35 => drift 0.07332624867162593, normalized 0.0011280961334096298
36 => drift 0.06198815673428248, normalized 9.685649489731637E-4
37 => drift 0.0637854550342788, normalized 0.0010124675402266477
38 => drift 0.06728128677912908, normalized 0.0010851820448246625
39 => drift 0.06730115567641061, normalized 0.0011032976340395182
40 => drift 0.07045119640726967, normalized 0.001174186606787828
41 => drift 0.07115762854734475, normalized 0.0012060615008024534
42 => drift 0.06873988601984099, normalized 0.001185170448617948
43 => drift 0.06627969762419006, normalized 0.0011628017127050887
44 => drift 0.06798886096583577, normalized 0.001214086802961353
45 => drift 0.06747506356346568, normalized 0.0012268193375175578
46 => drift 0.06574559313959027, normalized 0.0012175109840664865
47 => drift 0.0659146061520299, normalized 0.0012436718141892434
48 => drift 0.072014714204867, normalized 0.0013848983500935963
49 => drift 0.06550364280462535, normalized 0.0012843851530318696
50 => drift 0.07133127822782995, normalized 0.001426625564556599
51 => drift 0.06481178396072013, normalized 0.001322689468586125
52 => drift 0.0654074617900287, normalized 0.0013626554539589312
53 => drift 0.06366214938543965, normalized 0.001354513816711482
54 => drift 0.06452235445480863, normalized 0.0014026598794523615
55 => drift 0.06530207989435458, normalized 0.0014511573309856573
56 => drift 0.0664265706282513, normalized 0.0015096947870057115
57 => drift 0.06408441642002316, normalized 0.001490335265581934
58 => drift 0.05998463447786774, normalized 0.0014282055828063749
59 => drift 0.06387693912136619, normalized 0.0015579741249113705
60 => drift 0.06457410616856024, normalized 0.001614352654214006
61 => drift 0.06018490903668357, normalized 0.001543202795812399
62 => drift 0.06001670445054289, normalized 0.001579386959224813
63 => drift 0.05808561236623068, normalized 0.001569881415303532
64 => drift 0.05842086628112829, normalized 0.0016228018411424525
65 => drift 0.05837488999706659, normalized 0.0016678539999161882
66 => drift 0.054788492216293526, normalized 0.001611426241655692
67 => drift 0.05594794505311162, normalized 0.0016953922743367157
68 => drift 0.05374906407102364, normalized 0.0016796582522194887
69 => drift 0.054322334333242434, normalized 0.0017523333655884655
70 => drift 0.05338786932888434, normalized 0.0017795956442961448
71 => drift 0.051715230419508165, normalized 0.001783283807569247
72 => drift 0.05022784810126582, normalized 0.0017938517179023508
73 => drift 0.04978515335605275, normalized 0.0018438945687426944
74 => drift 0.04917952245258917, normalized 0.0018915200943303528
75 => drift 0.048375166428324866, normalized 0.0019350066571329947
76 => drift 0.045102689158351604, normalized 0.001879278714931317
77 => drift 0.04495925281567622, normalized 0.001954750122420705
78 => drift 0.0446040613638379, normalized 0.0020274573347199044
79 => drift 0.037903996940141516, normalized 0.001804952235244834
80 => drift 0.03700706297822248, normalized 0.0018503531489111242
81 => drift 0.036120642947444465, normalized 0.0019010864709181298
82 => drift 0.0364055128348007, normalized 0.0020225284908222613
83 => drift 0.032660622014234184, normalized 0.0019212130596608344
84 => drift 0.03145130731337628, normalized 0.0019657067070860176
85 => drift 0.029021266596169663, normalized 0.001934751106411311
86 => drift 0.02850945150294391, normalized 0.0020363893930674224
87 => drift 0.025652107591396755, normalized 0.001973239045492058
88 => drift 0.02359219549888921, normalized 0.001966016291574101
89 => drift 0.02195757350204689, normalized 0.0019961430456406264
90 => drift 0.01988956836668052, normalized 0.0019889568366680517
91 => drift 0.018332248768243933, normalized 0.0020369165298048816
