Average number of iterations: 246.101
Median of last 9 normalized drift values: 0.014839901477832512
0 => drift 0.02534713988354017, normalized 0.0025347139883540168
1 => drift 0.03829142925449257, normalized 0.004254603250499174
2 => drift 0.05258955660829297, normalized 0.006573694576036621
3 => drift 0.06389261744966443, normalized 0.00912751677852349
4 => drift 0.06231079717457114, normalized 0.010385132862428524
5 => drift 0.059118964056638024, normalized 0.011823792811327605
6 => drift 0.05935960591133005, normalized 0.014839901477832512
7 => drift 0.04756109434329666, normalized 0.01585369811443222
8 => drift 0.03147330644392924, normalized 0.01573665322196462
9 => drift 0.02049755831743969, normalized 0.02049755831743969
