Average number of iterations: 816.953
Median of last 9 normalized drift values: 0.006988573119355248
0 => drift 0.020087305866188978, normalized 4.0174611732377957E-4
1 => drift 0.04021813224267212, normalized 8.20778209034125E-4
2 => drift 0.0498800724460326, normalized 0.0010391681759590124
3 => drift 0.06604111453334288, normalized 0.001405130096454104
4 => drift 0.08186511513562239, normalized 0.0017796764159917911
5 => drift 0.08876574307304785, normalized 0.0019725720682899524
6 => drift 0.10715835140997831, normalized 0.0024354170774995073
7 => drift 0.10727141828653708, normalized 0.002494684146198537
8 => drift 0.1261860751694393, normalized 0.003004430361177126
9 => drift 0.13098950949815708, normalized 0.003194866085320904
10 => drift 0.14774647887323944, normalized 0.003693661971830986
11 => drift 0.14661029744828627, normalized 0.0037592383961099042
12 => drift 0.15326884589726483, normalized 0.004033390681506969
13 => drift 0.15616393973756681, normalized 0.004220647019934238
14 => drift 0.14629975124378108, normalized 0.004063881978993919
15 => drift 0.15857026807473598, normalized 0.0045305790878496
16 => drift 0.15764784721058803, normalized 0.004636701388546707
17 => drift 0.1650059111636548, normalized 0.005000179126171358
18 => drift 0.15225375626043405, normalized 0.004757929883138564
19 => drift 0.16865011900714044, normalized 0.005440326419585175
20 => drift 0.15967588179218303, normalized 0.005322529393072767
21 => drift 0.16393442622950818, normalized 0.0056529112492933855
22 => drift 0.1516360734237829, normalized 0.005415574050849389
23 => drift 0.14882352941176472, normalized 0.005511982570806101
24 => drift 0.15295226130653267, normalized 0.005882779281020488
25 => drift 0.15424940428911835, normalized 0.0061699761715647335
26 => drift 0.14485981308411214, normalized 0.006035825545171339
27 => drift 0.14298143851508122, normalized 0.0062165842832644005
28 => drift 0.1425883034163289, normalized 0.00648128651892404
29 => drift 0.12137169278191626, normalized 0.005779604418186489
30 => drift 0.12249194946742631, normalized 0.006124597473371315
31 => drift 0.12016119184271584, normalized 0.006324273254879781
32 => drift 0.12026561731431382, normalized 0.0066814231841285454
33 => drift 0.11344104503265727, normalized 0.006673002648979839
34 => drift 0.1108161911081619, normalized 0.006926011944260119
35 => drift 0.09943211151264843, normalized 0.0066288074341765615
36 => drift 0.0904814609850581, normalized 0.006462961498932722
37 => drift 0.0835868830290737, normalized 0.006429760233005669
38 => drift 0.07975460122699386, normalized 0.0066462167689161555
39 => drift 0.07465618860510806, normalized 0.0067869262368280055
40 => drift 0.06635987728424703, normalized 0.006635987728424703
41 => drift 0.0632209265679168, normalized 0.0070245473964352
42 => drift 0.05718629400070167, normalized 0.007148286750087709
43 => drift 0.04868144234062332, normalized 0.006954491762946188
44 => drift 0.04027224034473038, normalized 0.006712040057455063
45 => drift 0.03450483779169038, normalized 0.006900967558338076
46 => drift 0.02752697643690817, normalized 0.006881744109227043
47 => drift 0.020231391420088052, normalized 0.006743797140029351
48 => drift 0.014999924089452988, normalized 0.007499962044726494
49 => drift 0.006988573119355248, normalized 0.006988573119355248
