Average number of iterations: 4466.68
Median of last 9 normalized drift values: 0.00171084635362988
0 => drift 0.004997306705172484, normalized 2.498653352586242E-5
1 => drift 0.00942274348895687, normalized 4.735046979375312E-5
2 => drift 0.01266644171619903, normalized 6.397192785959105E-5
3 => drift 0.019772117962466487, normalized 1.0036608102774866E-4
4 => drift 0.023692445239159587, normalized 1.2087982264877341E-4
5 => drift 0.027628876976824812, normalized 1.416865485991016E-4
6 => drift 0.028508164959867147, normalized 1.4694930391684097E-4
7 => drift 0.035297760346785015, normalized 1.8288994998334204E-4
8 => drift 0.04194890077243019, normalized 2.1848385818974055E-4
9 => drift 0.045908954391384565, normalized 2.4036101775594014E-4
10 => drift 0.048859934853420196, normalized 2.571575518601063E-4
11 => drift 0.060786873018832746, normalized 3.2162366676631083E-4
12 => drift 0.05502005627731545, normalized 2.926598738155077E-4
13 => drift 0.06079959126325201, normalized 3.2513150408156153E-4
14 => drift 0.06486593059936908, normalized 3.4874156236219936E-4
15 => drift 0.06073329390892963, normalized 3.282880751834034E-4
16 => drift 0.06615045724584474, normalized 3.595133545969823E-4
17 => drift 0.07423512967852151, normalized 4.0565644633071865E-4
18 => drift 0.07377642629597451, normalized 4.0536497964821164E-4
19 => drift 0.07505604081317152, normalized 4.1467425863630673E-4
20 => drift 0.0875716021524041, normalized 4.865089008466895E-4
21 => drift 0.07887301202873981, normalized 4.4063135211586487E-4
22 => drift 0.08918648082354012, normalized 5.010476450760681E-4
23 => drift 0.08612784320776769, normalized 4.865979842246762E-4
24 => drift 0.09511406502604634, normalized 5.40420824011627E-4
25 => drift 0.09681286841842342, normalized 5.532163909624195E-4
26 => drift 0.09031347646406612, normalized 5.190429681842881E-4
27 => drift 0.10661001877284854, normalized 6.162428830800493E-4
28 => drift 0.10091641824003533, normalized 5.867233618606706E-4
29 => drift 0.1057124097176625, normalized 6.18201226419079E-4
30 => drift 0.10227999147666737, normalized 6.016470086862787E-4
31 => drift 0.11168234521986437, normalized 6.608422794074814E-4
32 => drift 0.12240410456877596, normalized 7.285958605284283E-4
33 => drift 0.11414679323917573, normalized 6.835137319711122E-4
34 => drift 0.12217359591539023, normalized 7.359855175625917E-4
35 => drift 0.11319641170915959, normalized 6.860388588433914E-4
36 => drift 0.1253703045384524, normalized 7.644530764539781E-4
37 => drift 0.12517527087316763, normalized 7.679464470746481E-4
38 => drift 0.13044576335395883, normalized 8.052207614441903E-4
39 => drift 0.11985361390667887, normalized 7.444323845135334E-4
40 => drift 0.12503192848020434, normalized 7.814495530012771E-4
41 => drift 0.12611921207469942, normalized 7.932025916647762E-4
42 => drift 0.133756278086175, normalized 8.465587220643987E-4
43 => drift 0.1432002401681177, normalized 9.121034405612592E-4
44 => drift 0.13477801268498943, normalized 8.639616197755733E-4
45 => drift 0.13913669064748202, normalized 8.976560686934324E-4
46 => drift 0.12329485834207765, normalized 8.006159632602445E-4
47 => drift 0.14414545454545455, normalized 9.421271538918598E-4
48 => drift 0.15561075394506138, normalized 0.0010237549601648775
49 => drift 0.15003431708991077, normalized 9.936047489398064E-4
50 => drift 0.13938218176391584, normalized 9.292145450927723E-4
51 => drift 0.16138090518665346, normalized 0.0010830933234003588
52 => drift 0.13676835498467377, normalized 9.241105066532012E-4
53 => drift 0.12808413105028987, normalized 8.71320619389727E-4
54 => drift 0.1530669667979741, normalized 0.0010484038821779048
55 => drift 0.14650872817955113, normalized 0.0010104050219279389
56 => drift 0.1377254011074826, normalized 9.564263965797403E-4
57 => drift 0.1363376251788269, normalized 9.534099662855027E-4
58 => drift 0.15677343520423156, normalized 0.0011040382760861378
59 => drift 0.14382953536549276, normalized 0.0010200676267056224
60 => drift 0.15228426395939088, normalized 0.0010877447425670778
61 => drift 0.1459405374499714, normalized 0.0010499319241005136
62 => drift 0.15659116832328498, normalized 0.001134718611038297
63 => drift 0.13987503550127806, normalized 0.0010209856605932705
64 => drift 0.15343592869114733, normalized 0.0011282053580231421
65 => drift 0.1564994728121705, normalized 0.0011592553541642258
66 => drift 0.14647627821280515, normalized 0.0010931065538269042
67 => drift 0.14682063587282543, normalized 0.0011039145554347777
68 => drift 0.16507738002188527, normalized 0.0012505862122870095
69 => drift 0.15761448349307774, normalized 0.0012031639961303645
70 => drift 0.15477770404777705, normalized 0.0011905977234444387
71 => drift 0.17086787345626797, normalized 0.0013245571585757208
72 => drift 0.14961974235604533, normalized 0.0011689042371566042
73 => drift 0.15614403358630713, normalized 0.0012294805794197412
74 => drift 0.15327358347258088, normalized 0.00121645701168715
75 => drift 0.15152941176470588, normalized 0.001212235294117647
76 => drift 0.16551491656834655, normalized 0.0013347977142608592
77 => drift 0.14321023553358533, normalized 0.0011643108579966288
78 => drift 0.1567432411314268, normalized 0.001284780665011695
79 => drift 0.15977328431372548, normalized 0.0013204403662291362
80 => drift 0.1457886676875957, normalized 0.0012149055640632977
81 => drift 0.15351979886863606, normalized 0.0012900823434339164
82 => drift 0.1561387900355872, normalized 0.0013232100850473492
83 => drift 0.1505553887721405, normalized 0.0012867981946336794
84 => drift 0.1524277811923786, normalized 0.0013140325964860224
85 => drift 0.14696722527065104, normalized 0.0012779758719187048
86 => drift 0.1367965367965368, normalized 0.0011999696210222527
87 => drift 0.15174622540796096, normalized 0.0013428869505129287
88 => drift 0.1542326431181486, normalized 0.0013770771706977554
89 => drift 0.1451589490492089, normalized 0.0013077382797226026
90 => drift 0.14916217833632556, normalized 0.001356019803057505
91 => drift 0.15276695245518315, normalized 0.0014015316739007628
92 => drift 0.14256289539502723, normalized 0.001320026809213215
93 => drift 0.1582475834112878, normalized 0.001478949377675587
94 => drift 0.15312259059367772, normalized 0.0014445527414497898
95 => drift 0.14556482183472327, normalized 0.001386331636521174
96 => drift 0.14295844561055168, normalized 0.001374600438562997
97 => drift 0.14902527075812275, normalized 0.001446847288913813
98 => drift 0.1434130873450562, normalized 0.001406010660245649
99 => drift 0.14313005143277002, normalized 0.001417129222106634
100 => drift 0.1552851711026616, normalized 0.0015528517110266161
101 => drift 0.1393632416787265, normalized 0.0014077095119063281
102 => drift 0.1451823862810638, normalized 0.001481452921235345
103 => drift 0.14219853047111367, normalized 0.0014659642316609655
104 => drift 0.1363698912893904, normalized 0.00142051970093115
105 => drift 0.14424330195510499, normalized 0.0015183505468958419
