Average number of iterations: 4461.415
Median of last 9 normalized drift values: 0.0017267094508791217
0 => drift 0.005158735217504005, normalized 2.5793676087520023E-5
1 => drift 0.010598110239187572, normalized 5.325683537280187E-5
2 => drift 0.014486391571553995, normalized 7.316359379572725E-5
3 => drift 0.02007541017018241, normalized 1.0190563538163661E-4
4 => drift 0.021940848974605933, normalized 1.1194310701329557E-4
5 => drift 0.026563793149478068, normalized 1.3622458025373368E-4
6 => drift 0.03329014252965215, normalized 1.715986728332585E-4
7 => drift 0.03833231521075137, normalized 1.9861303218005893E-4
8 => drift 0.036558569480224276, normalized 1.9040921604283477E-4
9 => drift 0.037249031349066576, normalized 1.950211065396156E-4
10 => drift 0.04988521140233403, normalized 2.625537442228107E-4
11 => drift 0.05147665401748886, normalized 2.7236324876978236E-4
12 => drift 0.057348054453853575, normalized 3.0504284283964665E-4
13 => drift 0.06459148882434651, normalized 3.45409031146238E-4
14 => drift 0.05895044101783108, normalized 3.169378549345757E-4
15 => drift 0.06758679567444507, normalized 3.653340306726761E-4
16 => drift 0.0683251096491228, normalized 3.713321176582761E-4
17 => drift 0.07314531814392887, normalized 3.997011920433272E-4
18 => drift 0.07006597819850832, normalized 3.8497790218960617E-4
19 => drift 0.08063590920265508, normalized 4.455022607881496E-4
20 => drift 0.0779145185431565, normalized 4.328584363508694E-4
21 => drift 0.09257122570338155, normalized 5.171576854937517E-4
22 => drift 0.08957611303652359, normalized 5.032365900928291E-4
23 => drift 0.09266192437289404, normalized 5.235136970220002E-4
24 => drift 0.0928314052721411, normalized 5.274511663189835E-4
25 => drift 0.09017341040462427, normalized 5.152766308835672E-4
26 => drift 0.10320039389463319, normalized 5.931057120381217E-4
27 => drift 0.09838709677419355, normalized 5.687115420473616E-4
28 => drift 0.11379385015158078, normalized 6.615921520440743E-4
29 => drift 0.10184787279759347, normalized 5.956015953075642E-4
30 => drift 0.1173392254913362, normalized 6.902307381843306E-4
31 => drift 0.10759563443942234, normalized 6.3666055881315E-4
32 => drift 0.11183732752360204, normalized 6.656983781166788E-4
33 => drift 0.1124077161228864, normalized 6.731000965442299E-4
34 => drift 0.12092511013215859, normalized 7.284645188684253E-4
35 => drift 0.12386156648451731, normalized 7.506761605122262E-4
36 => drift 0.12356395200408476, normalized 7.534387317322242E-4
37 => drift 0.12308988088076044, normalized 7.551526434402481E-4
38 => drift 0.12520325203252033, normalized 7.728595804476564E-4
39 => drift 0.12354098360655738, normalized 7.673353019040831E-4
40 => drift 0.14641308907845058, normalized 9.150818067403161E-4
41 => drift 0.1271610230032862, normalized 7.99754861655888E-4
42 => drift 0.13170536429143315, normalized 8.335782550090706E-4
43 => drift 0.13241079907746575, normalized 8.433808858437309E-4
44 => drift 0.14027084818246616, normalized 8.991721037337574E-4
45 => drift 0.1409312022237665, normalized 9.092335627339775E-4
46 => drift 0.14591268678581892, normalized 9.474849791286943E-4
47 => drift 0.12937204591492235, normalized 8.455689275485121E-4
48 => drift 0.14723508580768183, normalized 9.686518803136962E-4
49 => drift 0.14191890348372357, normalized 9.398602879716793E-4
50 => drift 0.15383474261978936, normalized 0.0010255649507985957
51 => drift 0.14845679012345678, normalized 9.963542961305824E-4
52 => drift 0.1431770677814273, normalized 9.67412620144779E-4
53 => drift 0.14691027926322045, normalized 9.9938965485184E-4
54 => drift 0.13131313131313133, normalized 8.994050089940502E-4
55 => drift 0.14199569274946158, normalized 9.79280639651459E-4
56 => drift 0.14695665307355385, normalized 0.0010205323130107907
57 => drift 0.1428175263449806, normalized 9.987239604544098E-4
58 => drift 0.15916591659165916, normalized 0.00112088673656098
59 => drift 0.1535171102661597, normalized 0.0010887738316748914
60 => drift 0.15605749486652978, normalized 0.0011146963919037843
61 => drift 0.159846547314578, normalized 0.0011499751605365323
62 => drift 0.1387434554973822, normalized 0.0010053873586766827
63 => drift 0.16397190919483914, normalized 0.001196875249597366
64 => drift 0.14461446144614462, normalized 0.0010633416282804752
65 => drift 0.14834497418767081, normalized 0.0010988516606494135
66 => drift 0.15417043059319482, normalized 0.0011505256014417524
67 => drift 0.16017110266159695, normalized 0.001204294004974413
68 => drift 0.15928927680798005, normalized 0.0012067369455150004
69 => drift 0.1484196060467247, normalized 0.0011329740919597305
70 => drift 0.14967156709415078, normalized 0.0011513197468780829
71 => drift 0.16269648355209854, normalized 0.0012612130507914615
72 => drift 0.14772204325816843, normalized 0.0011540784629544408
73 => drift 0.15857253685027153, normalized 0.0012486026523643428
74 => drift 0.15230744999212475, normalized 0.0012087892856517837
75 => drift 0.15828945268868677, normalized 0.001266315621509494
76 => drift 0.1566624764299183, normalized 0.001263407067983212
77 => drift 0.15307476773337267, normalized 0.0012445103067753875
78 => drift 0.15684762492288712, normalized 0.0012856362698597304
79 => drift 0.15301441677588468, normalized 0.0012645819568254933
80 => drift 0.1454436630255873, normalized 0.0012120305252132275
81 => drift 0.15009775906151301, normalized 0.001261325706399269
82 => drift 0.15507938954832742, normalized 0.001314232114816334
83 => drift 0.1483761736185932, normalized 0.0012681724240905402
84 => drift 0.14432840150855816, normalized 0.001244210357832398
85 => drift 0.1560379918588874, normalized 0.00135685210312076
86 => drift 0.14009872241579557, normalized 0.0012289361615420665
87 => drift 0.16145510835913313, normalized 0.001428806268664895
88 => drift 0.15885167464114833, normalized 0.0014183185235816815
89 => drift 0.14691416785657624, normalized 0.0013235510617709571
90 => drift 0.15740602066796466, normalized 0.0014309638242542243
91 => drift 0.1555836360764492, normalized 0.0014273728080408184
92 => drift 0.1415658259221461, normalized 0.0013107946844643156
93 => drift 0.15055789016084625, normalized 0.0014070830856153856
94 => drift 0.14660798300197297, normalized 0.001383094179263896
95 => drift 0.13530945519418142, normalized 0.001288661478039823
96 => drift 0.14860402281597118, normalized 0.0014288848347689537
97 => drift 0.1411898662112155, normalized 0.0013707754001088882
98 => drift 0.14555063562348236, normalized 0.0014269670159164937
