Average number of iterations: 2120.519
Median of last 9 normalized drift values: 0.0021309918098025623
0 => drift 0.0713866674900423, normalized 7.138666749004229E-4
1 => drift 0.1400437636761488, normalized 0.0014145834714762505
2 => drift 0.23179628355127324, normalized 0.0023652681995027882
3 => drift 0.18548257587923558, normalized 0.0019121915039096453
4 => drift 0.32183609958506226, normalized 0.003352459370677732
5 => drift 0.4084720121028744, normalized 0.004299705390556573
6 => drift 0.46998722860791825, normalized 0.00499986413412679
7 => drift 0.5367693274670019, normalized 0.005771713198569913
8 => drift 0.4410112359550562, normalized 0.004793600390815828
9 => drift 0.5338120885697187, normalized 0.0058660669073595465
10 => drift 0.45030425963488846, normalized 0.0050033806626098715
11 => drift 0.4406779661016949, normalized 0.004951437821367358
12 => drift 0.47344110854503463, normalized 0.005380012597102666
13 => drift 0.5483646485734168, normalized 0.00630304193762548
14 => drift 0.5209459459459459, normalized 0.0060575109993714635
15 => drift 0.6061185468451242, normalized 0.00713080643347205
16 => drift 0.49265785609397944, normalized 0.005864974477309279
17 => drift 0.46859205776173285, normalized 0.005645687442912444
18 => drift 0.5667412378821775, normalized 0.006911478510758262
19 => drift 0.45904059040590406, normalized 0.005667167782788939
20 => drift 0.5414488424197162, normalized 0.0067681105302464534
21 => drift 0.43703703703703706, normalized 0.0055321143928738865
22 => drift 0.45910652920962197, normalized 0.005885981143713102
23 => drift 0.5961389961389961, normalized 0.007742064884922028
24 => drift 0.4350769230769231, normalized 0.005724696356275304
25 => drift 0.45516769336071183, normalized 0.0060689025781428246
26 => drift 0.45794392523364486, normalized 0.006188431422076282
27 => drift 0.5204435204435205, normalized 0.007129363293746856
28 => drift 0.4164798206278027, normalized 0.005784441953163927
29 => drift 0.4563794983642312, normalized 0.0064278802586511434
30 => drift 0.4968372627947096, normalized 0.007097675182781565
31 => drift 0.45077168706758913, normalized 0.006532923000979553
32 => drift 0.5204313280363224, normalized 0.007653401882887094
33 => drift 0.4288977727013135, normalized 0.006401459294049456
34 => drift 0.4792079207920792, normalized 0.007260726072607261
35 => drift 0.4278871740287387, normalized 0.006582879600442134
36 => drift 0.3965252938170669, normalized 0.0061957077158916705
37 => drift 0.42388059701492536, normalized 0.006728263444681355
38 => drift 0.359902399349329, normalized 0.005804877408860145
39 => drift 0.4164567590260285, normalized 0.006827159984033254
40 => drift 0.36911327959270257, normalized 0.00615188799321171
41 => drift 0.3460046547711404, normalized 0.0058644856740871255
42 => drift 0.350253807106599, normalized 0.006038858743217224
43 => drift 0.36518636003172084, normalized 0.006406778246170541
44 => drift 0.3208011243851019, normalized 0.005728591506876819
45 => drift 0.31008010680907877, normalized 0.005637820123801432
46 => drift 0.32063837504533915, normalized 0.005937747686024799
47 => drift 0.29283965728274175, normalized 0.005525276552504561
48 => drift 0.3119476268412439, normalized 0.0059989928238700745
49 => drift 0.28809451681308695, normalized 0.005648912094374254
50 => drift 0.27956989247311825, normalized 0.005591397849462365
51 => drift 0.2778904665314402, normalized 0.005671234010845717
52 => drift 0.2656018929310855, normalized 0.005533372769397614
53 => drift 0.22853688029020555, normalized 0.004862486814685225
54 => drift 0.23890699423414388, normalized 0.0051936303094379105
55 => drift 0.2436281859070465, normalized 0.005413959686823256
56 => drift 0.2202507688668086, normalized 0.005005699292427468
57 => drift 0.22142526608051827, normalized 0.005149424792570192
58 => drift 0.21911573472041612, normalized 0.00521704130286705
59 => drift 0.205503385018563, normalized 0.0050122776833795854
60 => drift 0.19799079112599413, normalized 0.004949769778149853
61 => drift 0.187648023319366, normalized 0.004811487777419641
62 => drift 0.18842504743833016, normalized 0.004958553879956057
63 => drift 0.17772861356932154, normalized 0.004803476042414096
64 => drift 0.17044456158847301, normalized 0.004734571155235362
65 => drift 0.15694006309148265, normalized 0.00448400180261379
66 => drift 0.14122252333634447, normalized 0.004153603627539543
