Average number of iterations: 16441.783
Median of last 9 normalized drift values: 2.872267396605554E-4
0 => drift 0.7206703910614525, normalized 0.0036033519553072624
1 => drift 1.3351918661856346, normalized 0.006709506865254445
2 => drift 2.2679425837320575, normalized 0.01145425547339423
3 => drift 4.369426751592357, normalized 0.022179831226357142
4 => drift 2.3491379310344827, normalized 0.011985397607318789
5 => drift 1.3727272727272728, normalized 0.00703962703962704
6 => drift 3.83739837398374, normalized 0.019780403989606905
7 => drift 9.058823529411764, normalized 0.046936909478817436
8 => drift 14.0, normalized 0.07291666666666667
9 => drift 11.714285714285714, normalized 0.06133133881824981
10 => drift NaN, normalized NaN
11 => drift NaN, normalized NaN
12 => drift NaN, normalized NaN
13 => drift NaN, normalized NaN
14 => drift NaN, normalized NaN
15 => drift NaN, normalized NaN
16 => drift NaN, normalized NaN
17 => drift NaN, normalized NaN
18 => drift NaN, normalized NaN
19 => drift NaN, normalized NaN
20 => drift NaN, normalized NaN
21 => drift NaN, normalized NaN
22 => drift NaN, normalized NaN
23 => drift 0.5, normalized 0.002824858757062147
24 => drift 3.0, normalized 0.017045454545454544
25 => drift NaN, normalized NaN
26 => drift NaN, normalized NaN
27 => drift 3.6153846153846154, normalized 0.020898176967541128
28 => drift NaN, normalized NaN
29 => drift NaN, normalized NaN
30 => drift 5.5, normalized 0.03235294117647059
31 => drift NaN, normalized NaN
32 => drift NaN, normalized NaN
33 => drift NaN, normalized NaN
34 => drift NaN, normalized NaN
35 => drift NaN, normalized NaN
36 => drift NaN, normalized NaN
37 => drift NaN, normalized NaN
38 => drift NaN, normalized NaN
39 => drift NaN, normalized NaN
40 => drift NaN, normalized NaN
41 => drift NaN, normalized NaN
42 => drift NaN, normalized NaN
43 => drift NaN, normalized NaN
44 => drift NaN, normalized NaN
45 => drift NaN, normalized NaN
46 => drift NaN, normalized NaN
47 => drift NaN, normalized NaN
48 => drift NaN, normalized NaN
49 => drift NaN, normalized NaN
50 => drift NaN, normalized NaN
51 => drift 0.5, normalized 0.003355704697986577
52 => drift NaN, normalized NaN
53 => drift NaN, normalized NaN
54 => drift 1.0, normalized 0.00684931506849315
55 => drift 1.2, normalized 0.008275862068965517
56 => drift NaN, normalized NaN
57 => drift NaN, normalized NaN
58 => drift NaN, normalized NaN
59 => drift NaN, normalized NaN
60 => drift 3.0, normalized 0.02142857142857143
61 => drift 1.8, normalized 0.012949640287769784
62 => drift 0.6666666666666666, normalized 0.004830917874396135
63 => drift 1.3125, normalized 0.00958029197080292
64 => drift 0.6, normalized 0.004411764705882353
65 => drift 2.0, normalized 0.014814814814814815
66 => drift 1.0, normalized 0.007462686567164179
67 => drift 1.0, normalized 0.007518796992481203
68 => drift 0.6461538461538462, normalized 0.0048951048951048955
69 => drift 0.6029411764705882, normalized 0.004602604400538841
70 => drift 0.8135593220338984, normalized 0.006258148631029988
71 => drift 0.6886792452830188, normalized 0.005338598800643557
72 => drift 0.48175182481751827, normalized 0.0037636861313868615
73 => drift 0.7905405405405406, normalized 0.006224728665673548
74 => drift 0.6600985221674877, normalized 0.005238877160059426
75 => drift 0.5126353790613718, normalized 0.0041010830324909745
76 => drift 0.5181818181818182, normalized 0.004178885630498534
77 => drift 0.5586734693877551, normalized 0.004542060726729716
78 => drift 0.5065217391304347, normalized 0.004151817533856022
79 => drift 0.4184514003294893, normalized 0.003458276035780903
80 => drift 0.43621399176954734, normalized 0.003635116598079561
81 => drift 0.4467312348668281, normalized 0.003754043990477547
82 => drift 0.38578680203045684, normalized 0.0032693796782242105
83 => drift 0.35074626865671643, normalized 0.0029978313560403112
84 => drift 0.3581267217630854, normalized 0.0030872993255438397
85 => drift 0.3531331592689295, normalized 0.003070723124077648
86 => drift 0.35344827586206895, normalized 0.003100423472474289
87 => drift 0.28426189507930055, normalized 0.0025155919918522173
88 => drift 0.3037328094302554, normalized 0.002711900084198709
89 => drift 0.2783068783068783, normalized 0.0025072691739358405
90 => drift 0.26571525654094463, normalized 0.002415593241281315
91 => drift 0.24863779753369658, normalized 0.002281080711318317
92 => drift 0.25357873210633947, normalized 0.0023479512232068467
93 => drift 0.2553191489361702, normalized 0.002386160270431497
94 => drift 0.22780648191639266, normalized 0.0021491177539282326
95 => drift 0.22777369581190302, normalized 0.0021692732934466955
96 => drift 0.19335476956055733, normalized 0.0018591804765438205
97 => drift 0.1864730607565915, normalized 0.0018104180655979759
98 => drift 0.19058597502401536, normalized 0.0018684899512158369
99 => drift 0.18207126948775057, normalized 0.001802685836512382
100 => drift 0.16502750458409735, normalized 0.0016502750458409735
101 => drift 0.15584627964022896, normalized 0.0015742048448507974
102 => drift 0.1535841461526552, normalized 0.0015671851648230122
103 => drift 0.13879765814650863, normalized 0.0014309036922320478
104 => drift 0.13995198418302499, normalized 0.0014578331685731769
105 => drift 0.1328575349986275, normalized 0.0013985003684066054
106 => drift 0.1138682745825603, normalized 0.0012113646232187266
107 => drift 0.11076020753440108, normalized 0.0011909699734881836
108 => drift 0.10933420365535249, normalized 0.0011884152571233965
109 => drift 0.10290209418518124, normalized 0.0011307922437932005
110 => drift 0.10247782196390333, normalized 0.0011386424662655926
111 => drift 0.09670244657189826, normalized 0.001086544343504475
112 => drift 0.08691466083150985, normalized 9.876666003580665E-4
113 => drift 0.09183673469387756, normalized 0.001055594651653765
114 => drift 0.08521857458751489, normalized 9.909136579943593E-4
115 => drift 0.08238372583776483, normalized 9.69220303973704E-4
116 => drift 0.0779300785461266, normalized 9.277390303110309E-4
117 => drift 0.0730151583370854, normalized 8.797007028564505E-4
118 => drift 0.06631102707812817, normalized 8.086710619283923E-4
119 => drift 0.06755848346329658, normalized 8.340553513987233E-4
120 => drift 0.05959489521133357, normalized 7.449361901416696E-4
121 => drift 0.058686844613918016, normalized 7.428714508090888E-4
122 => drift 0.05711480711480711, normalized 7.322411168565015E-4
123 => drift 0.05591540718596025, normalized 7.26174119298185E-4
124 => drift 0.0544742850929651, normalized 7.167669091179618E-4
125 => drift 0.05130879132339138, normalized 6.841172176452184E-4
126 => drift 0.04959653611493801, normalized 6.702234610126758E-4
127 => drift 0.045206366833240794, normalized 6.192652990854903E-4
128 => drift 0.04629586891299331, normalized 6.429981793471293E-4
129 => drift 0.04483309659090909, normalized 6.314520646606914E-4
130 => drift 0.04153207198892478, normalized 5.933153141274969E-4
131 => drift 0.041003298179893316, normalized 5.942506982593235E-4
132 => drift 0.03662880065984329, normalized 5.386588332329896E-4
133 => drift 0.0364523945267959, normalized 5.440655899521775E-4
134 => drift 0.03684111798912024, normalized 5.581987574109127E-4
135 => drift 0.03368956743002544, normalized 5.183010373850069E-4
136 => drift 0.03318036250784113, normalized 5.184431641850176E-4
137 => drift 0.032259110361820775, normalized 5.12049370822552E-4
138 => drift 0.031910840160030485, normalized 5.146909703230724E-4
139 => drift 0.03105377681069319, normalized 5.090783083720195E-4
140 => drift 0.029794826048171276, normalized 4.96580434136188E-4
141 => drift 0.0282453637660485, normalized 4.787349790855678E-4
142 => drift 0.02730263157894737, normalized 4.707350272232305E-4
143 => drift 0.026319231876095545, normalized 4.617409101069394E-4
144 => drift 0.024605930403936948, normalized 4.3939161435601693E-4
145 => drift 0.024687099635360206, normalized 4.488563570065492E-4
146 => drift 0.023789875745644024, normalized 4.405532545489634E-4
147 => drift 0.022906409634098422, normalized 4.3219640819053626E-4
148 => drift 0.021343671452306905, normalized 4.1045522023667124E-4
149 => drift 0.02071263035921205, normalized 4.061300070433736E-4
150 => drift 0.02096644522489739, normalized 4.193289044979478E-4
151 => drift 0.019888873618282843, normalized 4.0589537996495596E-4
152 => drift 0.01992655469267353, normalized 4.151365560973652E-4
153 => drift 0.01891588785046729, normalized 4.0246569894611254E-4
154 => drift 0.01736628835055344, normalized 3.77528007620727E-4
155 => drift 0.018474551120344265, normalized 4.1054558045209476E-4
156 => drift 0.016600046248885073, normalized 3.772737783837516E-4
157 => drift 0.01589269253997012, normalized 3.695975009295377E-4
158 => drift 0.015420474191158311, normalized 3.671541474085312E-4
159 => drift 0.015084430058933097, normalized 3.6791292826666094E-4
160 => drift 0.01451874132346136, normalized 3.62968533086534E-4
161 => drift 0.014365351629502573, normalized 3.6834234947442495E-4
162 => drift 0.013656538067599864, normalized 3.593825807263122E-4
163 => drift 0.012365710352287533, normalized 3.3420838789966303E-4
164 => drift 0.012756846002038, normalized 3.5435683338994446E-4
165 => drift 0.011681263393273083, normalized 3.3375038266494526E-4
166 => drift 0.011684518013631937, normalized 3.436622945185864E-4
167 => drift 0.011649444903950326, normalized 3.530134819378887E-4
168 => drift 0.010152077302564521, normalized 3.172524157051413E-4
