Average number of iterations: 4462.459
Median of last 9 normalized drift values: 0.0017784335528754313
0 => drift 0.004715111305835472, normalized 2.3575556529177357E-5
1 => drift 0.009944177593145528, normalized 4.997074167409813E-5
2 => drift 0.013714138316471296, normalized 6.926332483066312E-5
3 => drift 0.022103372737857948, normalized 1.1219986161349212E-4
4 => drift 0.02542799597180262, normalized 1.2973467332552357E-4
5 => drift 0.026212184003315375, normalized 1.3442145642725834E-4
6 => drift 0.032831963954412936, normalized 1.6923692760006668E-4
7 => drift 0.03649345497818326, normalized 1.890852589543174E-4
8 => drift 0.03533822590938098, normalized 1.840532599446926E-4
9 => drift 0.045077891945641366, normalized 2.3600990547456213E-4
10 => drift 0.04593741027849555, normalized 2.4177584357102923E-4
11 => drift 0.05487772672054086, normalized 2.903583424367241E-4
12 => drift 0.06096706377014716, normalized 3.242928923943998E-4
13 => drift 0.061034371988435594, normalized 3.26387015980939E-4
14 => drift 0.06271409749670619, normalized 3.371725671865924E-4
15 => drift 0.061670287231474774, normalized 3.333529039539177E-4
16 => drift 0.07060528676927325, normalized 3.8372438461561545E-4
17 => drift 0.08406346199384324, normalized 4.593631802942253E-4
18 => drift 0.06990402521128779, normalized 3.840880506114714E-4
19 => drift 0.08445158698272398, normalized 4.665833534957126E-4
20 => drift 0.07904316172646905, normalized 4.391286762581614E-4
21 => drift 0.08283819857056747, normalized 4.627832322378071E-4
22 => drift 0.09621896162528217, normalized 5.405559641869785E-4
23 => drift 0.09780271154745208, normalized 5.525576923584864E-4
24 => drift 0.10223575102340716, normalized 5.808849489966316E-4
25 => drift 0.09612724757952974, normalized 5.492985575973128E-4
26 => drift 0.0943122460824144, normalized 5.420244027724966E-4
27 => drift 0.09925380762547276, normalized 5.737214313611142E-4
28 => drift 0.10433631921824105, normalized 6.066065070827967E-4
29 => drift 0.10749506903353057, normalized 6.286261346990092E-4
30 => drift 0.11112284778704976, normalized 6.536638105120574E-4
31 => drift 0.11122068814376507, normalized 6.581105807323377E-4
32 => drift 0.10531275768641772, normalized 6.268616528953436E-4
33 => drift 0.11054583995760467, normalized 6.619511374706867E-4
34 => drift 0.12473628691983123, normalized 7.514234151797062E-4
35 => drift 0.11794937684697418, normalized 7.148447081634799E-4
36 => drift 0.11594549366483385, normalized 7.069847174684991E-4
37 => drift 0.11821682810129537, normalized 7.252566141183765E-4
38 => drift 0.10856619331195602, normalized 6.701616871108396E-4
39 => drift 0.13222840551657392, normalized 8.212944442023225E-4
40 => drift 0.12877319302132373, normalized 8.048324563832733E-4
41 => drift 0.13764720780043055, normalized 8.657057094366701E-4
42 => drift 0.13831981300701224, normalized 8.75441854474761E-4
43 => drift 0.13460697097856206, normalized 8.573692419016691E-4
44 => drift 0.13862755949086886, normalized 8.886382018645439E-4
45 => drift 0.1294194390084801, normalized 8.349641226353555E-4
46 => drift 0.1418005973545726, normalized 9.207830997050168E-4
47 => drift 0.13531723750701852, normalized 8.844263889347616E-4
48 => drift 0.1488147497805092, normalized 9.790444064507184E-4
49 => drift 0.14431784983932222, normalized 9.557473499292862E-4
50 => drift 0.1365163819658359, normalized 9.101092131055727E-4
51 => drift 0.14597875569044005, normalized 9.79723192553289E-4
52 => drift 0.13992428654630168, normalized 9.454343685560924E-4
53 => drift 0.1514281613319937, normalized 0.0010301235464761475
54 => drift 0.14125777470628886, normalized 9.67519004837595E-4
55 => drift 0.1327659574468085, normalized 9.156272927366104E-4
56 => drift 0.1426543647977289, normalized 9.906553110953396E-4
57 => drift 0.13363662212112595, normalized 9.345218330148668E-4
58 => drift 0.14455905855005086, normalized 0.001018021539084865
59 => drift 0.1388964763725758, normalized 9.850813927133036E-4
60 => drift 0.15253483545804922, normalized 0.001089534538986066
61 => drift 0.14563253012048194, normalized 0.0010477160440322442
62 => drift 0.14319885185775794, normalized 0.0010376728395489706
63 => drift 0.15032582938388625, normalized 0.0010972688276196076
64 => drift 0.14890236857307915, normalized 0.0010948703571549937
65 => drift 0.14507696776067383, normalized 0.001074644205634621
66 => drift 0.1589840075258702, normalized 0.0011864478173572402
67 => drift 0.16005710659898478, normalized 0.0012034368917216902
68 => drift 0.1528830313014827, normalized 0.0011582047825869901
69 => drift 0.1468791896320572, normalized 0.001121215188030971
70 => drift 0.14343786295005806, normalized 0.0011033681765389082
71 => drift 0.16467817896389325, normalized 0.0012765750307278546
72 => drift 0.16342857142857142, normalized 0.0012767857142857142
