Average number of iterations: 118543.763
Median of last 9 normalized drift values: 5.0614684980274447E-5
0 => drift 0.6612104436298347, normalized 8.265130545372934E-4
381 => drift 0.20482897384305834, normalized 4.888519662125497E-4
382 => drift 0.2034145325838018, normalized 4.8663763776029135E-4
383 => drift 0.21359832635983264, normalized 5.122262023017569E-4
384 => drift 0.18759811616954475, normalized 4.509570100229441E-4
385 => drift 0.18672501823486506, normalized 4.4993980297557845E-4
386 => drift 0.20340604668962878, normalized 4.913189533565913E-4
387 => drift 0.20161123734765543, normalized 4.881628022945652E-4
388 => drift 0.17993396918561996, normalized 4.367329349165533E-4
389 => drift 0.19534883720930232, normalized 4.7530130707859445E-4
390 => drift 0.18409176382098533, normalized 4.4900430200240325E-4
391 => drift 0.19149751053236308, normalized 4.682090722062667E-4
392 => drift 0.19083537620214971, normalized 4.6773376520134734E-4
393 => drift 0.1803698956235122, normalized 4.4316927671624615E-4
394 => drift 0.18271743187756626, normalized 4.500429356590302E-4
395 => drift 0.17181160698535897, normalized 4.2422619008730607E-4
396 => drift 0.17935460866464611, normalized 4.4394705115011413E-4
397 => drift 0.1831935836675173, normalized 4.545746492990504E-4
398 => drift 0.19543292102759277, normalized 4.861515448447581E-4
399 => drift 0.1706201287699085, normalized 4.2548660541124315E-4
400 => drift 0.1682063796409273, normalized 4.2051594910231827E-4
401 => drift 0.16473746015769167, normalized 4.128758399942147E-4
402 => drift 0.15764667641800748, normalized 3.9609717692966703E-4
403 => drift 0.15427423094759624, normalized 3.886000779536429E-4
404 => drift 0.15473004879584448, normalized 3.9073244645415275E-4
405 => drift 0.1657520981278244, normalized 4.196255648805681E-4
406 => drift 0.15971357409713574, normalized 4.0536440126176586E-4
407 => drift 0.1466374269005848, normalized 3.731232236656102E-4
408 => drift 0.1508089654148731, normalized 3.847167485073293E-4
409 => drift 0.1455038409399006, normalized 3.7213258552404245E-4
410 => drift 0.14405409378215492, normalized 3.6936947123629465E-4
411 => drift 0.137430644472898, normalized 3.5329214517454497E-4
412 => drift 0.14098452098730999, normalized 3.63362167493067E-4
413 => drift 0.13572114724852477, normalized 3.507006388850769E-4
414 => drift 0.142433234421365, normalized 3.689980166356606E-4
415 => drift 0.13453650533223954, normalized 3.4944546839542736E-4
416 => drift 0.1287598944591029, normalized 3.3531222515391384E-4
417 => drift 0.13325593395252838, normalized 3.4792672050268505E-4
