Average number of iterations: 836.972
Median of last 9 normalized drift values: 0.005541649754205565
0 => drift 0.10184381778741866, normalized 0.0020368763557483734
1 => drift 0.17002141327623127, normalized 0.0034698247607394136
2 => drift 0.2922289436947417, normalized 0.006088102993640453
3 => drift 0.3174549166383124, normalized 0.006754359928474732
4 => drift 0.37407749077490776, normalized 0.008132119364671907
5 => drift 0.456821665815023, normalized 0.010151592573667177
6 => drift 0.3581323755772191, normalized 0.008139372172209525
7 => drift 0.5055418719211823, normalized 0.011756787719097262
8 => drift 0.4560669456066946, normalized 0.010858736800159394
9 => drift 0.5123911587407903, normalized 0.012497345335141227
10 => drift 0.4522691705790297, normalized 0.011306729264475743
11 => drift 0.46956521739130436, normalized 0.012040133779264214
12 => drift 0.49444444444444446, normalized 0.013011695906432749
13 => drift 0.4653118430273301, normalized 0.012575995757495408
14 => drift 0.5057559478127398, normalized 0.014048776328131661
15 => drift 0.37594421847762927, normalized 0.010741263385075122
16 => drift 0.4416184971098266, normalized 0.012988779326759606
17 => drift 0.43922984356197353, normalized 0.013309995259453743
18 => drift 0.41210224308815857, normalized 0.012878195096504955
19 => drift 0.35943223443223443, normalized 0.011594588207491433
20 => drift 0.32944732297063906, normalized 0.010981577432354636
21 => drift 0.3415213946117274, normalized 0.011776599814197498
22 => drift 0.31492537313432833, normalized 0.011247334754797441
23 => drift 0.32670349907918966, normalized 0.012100129595525543
24 => drift 0.3036560595802302, normalized 0.011679079214624237
25 => drift 0.2648062015503876, normalized 0.010592248062015504
26 => drift 0.26794117647058824, normalized 0.01116421568627451
27 => drift 0.22424242424242424, normalized 0.009749670619235836
28 => drift 0.24260803639120546, normalized 0.011027638017782067
29 => drift 0.2206583969465649, normalized 0.010507542711741185
30 => drift 0.1866961414790997, normalized 0.009334807073954985
31 => drift 0.17697500456121146, normalized 0.009314473924274288
32 => drift 0.15608775749455703, normalized 0.008671542083030946
33 => drift 0.1589895988112927, normalized 0.009352329341840748
34 => drift 0.13280302008898476, normalized 0.008300188755561547
35 => drift 0.12773967997848595, normalized 0.008515978665232397
36 => drift 0.1219181459566075, normalized 0.008708438996900535
37 => drift 0.10458007079266331, normalized 0.008044620830204869
38 => drift 0.08595128838686904, normalized 0.00716260736557242
39 => drift 0.07747762021706409, normalized 0.007043420019733099
40 => drift 0.06684801088065284, normalized 0.006684801088065284
41 => drift 0.0597944377267231, normalized 0.006643826414080344
42 => drift 0.04717840533154337, normalized 0.005897300666442921
43 => drift 0.041022908897176344, normalized 0.005860415556739477
44 => drift 0.03324989852523339, normalized 0.005541649754205565
45 => drift 0.024179155563161626, normalized 0.004835831112632325
46 => drift 0.018368994751715786, normalized 0.004592248687928947
47 => drift 0.013002503506219443, normalized 0.004334167835406481
48 => drift 0.007971357699625113, normalized 0.003985678849812557
49 => drift 0.003793243545980263, normalized 0.003793243545980263
