Average number of iterations: 641.473
Median of last 9 normalized drift values: 0.008193186718413108
0 => drift 0.011677155368380751, normalized 5.838577684190375E-4
1 => drift 0.023550426587068417, normalized 0.0012394961361614956
2 => drift 0.033115276412568215, normalized 0.001839737578476012
3 => drift 0.042377996206242455, normalized 0.002492823306249556
4 => drift 0.04481578236194937, normalized 0.0028009863976218357
5 => drift 0.05130370526760266, normalized 0.003420247017840177
6 => drift 0.055160441283530266, normalized 0.003940031520252162
7 => drift 0.05595901593199347, normalized 0.0043045396870764205
8 => drift 0.05854068998677726, normalized 0.004878390832231438
9 => drift 0.059293647528941645, normalized 0.005390331593540149
10 => drift 0.05724264488249571, normalized 0.005724264488249571
11 => drift 0.05459770114942529, normalized 0.0060664112388250325
12 => drift 0.05367663102771111, normalized 0.006709578878463888
13 => drift 0.04856245469920271, normalized 0.00693749352845753
14 => drift 0.042586820037757385, normalized 0.0070978033396262305
15 => drift 0.037384919303738495, normalized 0.007476983860747699
16 => drift 0.032772746873652434, normalized 0.008193186718413108
17 => drift 0.025023309729607136, normalized 0.008341103243202379
18 => drift 0.017528781937655547, normalized 0.008764390968827774
19 => drift 0.009733219517459944, normalized 0.009733219517459944
