Average number of iterations: 643.581
Median of last 9 normalized drift values: 0.00822814477516992
0 => drift 0.01241585086183513, normalized 6.207925430917565E-4
1 => drift 0.022710538426138977, normalized 0.0011952914961125777
2 => drift 0.0304412127187577, normalized 0.0016911784843754278
3 => drift 0.039668244460268925, normalized 0.0023334261447217016
4 => drift 0.04603034661964642, normalized 0.002876896663727901
5 => drift 0.050487429451000515, normalized 0.003365828630066701
6 => drift 0.053500191267282365, normalized 0.003821442233377312
7 => drift 0.05399214659685864, normalized 0.0041532420459122026
8 => drift 0.0594101039226287, normalized 0.0049508419935523915
9 => drift 0.060257813450079044, normalized 0.005477983040916277
10 => drift 0.059504232900907485, normalized 0.005950423290090748
11 => drift 0.0533461620697028, normalized 0.005927351341078089
12 => drift 0.052540050590219226, normalized 0.006567506323777403
13 => drift 0.04771957386224164, normalized 0.006817081980320235
14 => drift 0.04529034588639032, normalized 0.007548390981065053
15 => drift 0.03771752641392169, normalized 0.007543505282784338
16 => drift 0.03291257910067968, normalized 0.00822814477516992
17 => drift 0.025784782327864617, normalized 0.008594927442621539
18 => drift 0.017848432842561646, normalized 0.008924216421280823
19 => drift 0.00948120961884008, normalized 0.00948120961884008
