Average number of iterations: 266.112
Median of last 9 normalized drift values: 0.014668991678903573
0 => drift 0.026676769524207666, normalized 0.0022230641270173054
1 => drift 0.0445410357076089, normalized 0.004049185064328082
2 => drift 0.0592901878914405, normalized 0.00592901878914405
3 => drift 0.06985456148082855, normalized 0.007761617942314284
4 => drift 0.07740802809033596, normalized 0.009676003511291996
5 => drift 0.07576947236180905, normalized 0.010824210337401292
6 => drift 0.07585777639461604, normalized 0.012642962732436007
7 => drift 0.0674715419110038, normalized 0.013494308382200759
8 => drift 0.05867596671561429, normalized 0.014668991678903573
9 => drift 0.04701080432172869, normalized 0.015670268107242896
10 => drift 0.035454545454545454, normalized 0.017727272727272727
11 => drift 0.017099342332987193, normalized 0.017099342332987193
