Average number of iterations: 645.803
Median of last 9 normalized drift values: 0.00824143934997098
0 => drift 0.012393273282178647, normalized 6.196636641089323E-4
1 => drift 0.022412302227207928, normalized 0.0011795948540635752
2 => drift 0.031454569258968314, normalized 0.001747476069942684
3 => drift 0.040413650465356776, normalized 0.0023772735567856927
4 => drift 0.046374918354016983, normalized 0.0028984323971260615
5 => drift 0.05398832684824903, normalized 0.0035992217898832687
6 => drift 0.05455676164631389, normalized 0.003896911546165278
7 => drift 0.05539647577092511, normalized 0.004261267366994239
8 => drift 0.05759038982452008, normalized 0.00479919915204334
9 => drift 0.058384289746001884, normalized 0.005307662704181989
10 => drift 0.058947622204809834, normalized 0.005894762220480984
11 => drift 0.05656082849664277, normalized 0.006284536499626975
12 => drift 0.05402154300399147, normalized 0.006752692875498934
13 => drift 0.04887532608160654, normalized 0.006982189440229505
14 => drift 0.04168802323594738, normalized 0.006948003872657896
15 => drift 0.041841358573667047, normalized 0.00836827171473341
16 => drift 0.03153295763946052, normalized 0.00788323940986513
17 => drift 0.0247667898720173, normalized 0.008255596624005766
18 => drift 0.01648287869994196, normalized 0.00824143934997098
19 => drift 0.00938909077072354, normalized 0.00938909077072354
