Average number of iterations: 3713.106
Median of last 9 normalized drift values: 0.0022386720502467474
0 => drift 0.0032873153151964972, normalized 4.1091441439956214E-5
1 => drift 0.006042734216378227, normalized 7.649030653643325E-5
2 => drift 0.008646031471554556, normalized 1.1084655732762252E-4
3 => drift 0.012093080070848347, normalized 1.570529879330954E-4
4 => drift 0.016566766566766568, normalized 2.1798377061534957E-4
5 => drift 0.017077443826436018, normalized 2.2769925101914692E-4
6 => drift 0.019313592251593514, normalized 2.609944898863988E-4
7 => drift 0.02169254318827903, normalized 2.97158125866836E-4
8 => drift 0.0254571715973279, normalized 3.535718277406653E-4
9 => drift 0.02608132608132608, normalized 3.673426208637476E-4
10 => drift 0.02807177702336462, normalized 4.0102538604806597E-4
11 => drift 0.032298177296377496, normalized 4.680895260344565E-4
12 => drift 0.032050465145915634, normalized 4.71330369792877E-4
13 => drift 0.033554713307138634, normalized 5.008166165244572E-4
14 => drift 0.03647092279254941, normalized 5.525897392810517E-4
15 => drift 0.03643027304379696, normalized 5.604657391353378E-4
16 => drift 0.04218636924779703, normalized 6.591620194968286E-4
17 => drift 0.04187660031386801, normalized 6.647079414899684E-4
18 => drift 0.043694365369843204, normalized 7.047478285458582E-4
19 => drift 0.04205983159141878, normalized 6.89505435924898E-4
20 => drift 0.04280944935130795, normalized 7.134908225217992E-4
21 => drift 0.046536544463595286, normalized 7.887549909083946E-4
22 => drift 0.04629115797262301, normalized 7.981234133210863E-4
23 => drift 0.04924471299093656, normalized 8.639423331743256E-4
24 => drift 0.05259855693819931, normalized 9.392599453249877E-4
25 => drift 0.05041223800536406, normalized 9.165861455520738E-4
26 => drift 0.055766651765757715, normalized 0.0010327157734399577
27 => drift 0.05006961018297534, normalized 9.447096260938743E-4
28 => drift 0.05339395220976951, normalized 0.0010268067732647982
29 => drift 0.051406349882804174, normalized 0.0010079676447608662
30 => drift 0.05223360326057811, normalized 0.0010446720652115622
31 => drift 0.054350794777953786, normalized 0.0011091998934276283
32 => drift 0.05561898548360789, normalized 0.001158728864241831
33 => drift 0.05310168291487392, normalized 0.0011298230407419982
34 => drift 0.052019235741248254, normalized 0.0011308529508967011
35 => drift 0.052003590095559896, normalized 0.0011556353354568866
36 => drift 0.058628511603559585, normalized 0.0013324661728081723
37 => drift 0.053263874122900276, normalized 0.0012386947470441924
38 => drift 0.054722312792087814, normalized 0.0013029122093354242
39 => drift 0.05376815565908468, normalized 0.0013114184307093824
40 => drift 0.055116369064072086, normalized 0.001377909226601802
41 => drift 0.05179117631810877, normalized 0.001327978879951507
42 => drift 0.05538513023593061, normalized 0.001457503427261332
43 => drift 0.05425032037590773, normalized 0.0014662248750245334
44 => drift 0.05066033842344202, normalized 0.0014072316228733893
45 => drift 0.05197505197505198, normalized 0.001485001485001485
46 => drift 0.05270502361528553, normalized 0.0015501477533907508
47 => drift 0.05072427194266391, normalized 0.001537099149777694
48 => drift 0.04861008610086101, normalized 0.0015190651906519066
49 => drift 0.048867127496159755, normalized 0.0015763589514890244
50 => drift 0.045803280194790276, normalized 0.0015267760064930091
51 => drift 0.05199097633912177, normalized 0.001792792287555923
52 => drift 0.04808795411089866, normalized 0.001717426932532095
53 => drift 0.04715165511932255, normalized 0.0017463575970119464
54 => drift 0.04442950011208249, normalized 0.0017088269273877882
55 => drift 0.04121781807594726, normalized 0.0016487127230378903
56 => drift 0.041984573691890764, normalized 0.0017493572371621152
57 => drift 0.040396217185716614, normalized 0.0017563572689442005
58 => drift 0.03865989375315057, normalized 0.0017572678978704805
59 => drift 0.03848665258306126, normalized 0.0018326977420505364
60 => drift 0.03792653365653552, normalized 0.0018963266828267759
61 => drift 0.036049291888909325, normalized 0.0018973311520478593
62 => drift 0.03398799226620535, normalized 0.001888221792566964
63 => drift 0.031296714481091566, normalized 0.0018409832047700922
64 => drift 0.029773326936915326, normalized 0.0018608329335572079
65 => drift 0.029185604436440558, normalized 0.0019457069624293705
66 => drift 0.028799811919595627, normalized 0.002057129422828259
67 => drift 0.02447174447174447, normalized 0.0018824418824418823
68 => drift 0.024097539942989916, normalized 0.002008128328582493
69 => drift 0.02116119664324913, normalized 0.0019237451493862847
70 => drift 0.02000913115112055, normalized 0.002000913115112055
71 => drift 0.019046515221758615, normalized 0.0021162794690842905
72 => drift 0.01790937640197398, normalized 0.0022386720502467474
73 => drift 0.015229977239051068, normalized 0.0021757110341501526
74 => drift 0.012312102613105957, normalized 0.0020520171021843263
75 => drift 0.011248568415562031, normalized 0.0022497136831124065
76 => drift 0.00846135585173127, normalized 0.0021153389629328177
77 => drift 0.006808210539164163, normalized 0.0022694035130547212
78 => drift 0.004418111590653516, normalized 0.002209055795326758
79 => drift 0.002268007432506285, normalized 0.002268007432506285
