Average number of iterations: 842.965
Median of last 9 normalized drift values: 0.005519566367001586
0 => drift 0.0962564076010977, normalized 0.001925128152021954
1 => drift 0.18001478560867423, normalized 0.003673771134870903
2 => drift 0.2566591984067712, normalized 0.0053470666334744
3 => drift 0.3149448345035105, normalized 0.006700953925606607
4 => drift 0.41869716558925907, normalized 0.009102112295418675
5 => drift 0.39708333333333334, normalized 0.008824074074074074
6 => drift 0.3984840281537629, normalized 0.009056455185312793
7 => drift 0.46449704142011833, normalized 0.010802256777212055
8 => drift 0.4508748317631225, normalized 0.010735115041979108
9 => drift 0.5370242214532872, normalized 0.013098151742763103
10 => drift 0.5634920634920635, normalized 0.014087301587301588
11 => drift 0.37815656565656564, normalized 0.009696322196322197
12 => drift 0.49764309764309766, normalized 0.013095870990607833
13 => drift 0.43610013175230566, normalized 0.011786490047359613
14 => drift 0.4721862871927555, normalized 0.013116285755354319
15 => drift 0.39085545722713866, normalized 0.011167298777918248
16 => drift 0.45225541886350323, normalized 0.013301629966573624
17 => drift 0.4043528064146621, normalized 0.012253115345898851
18 => drift 0.4047244094488189, normalized 0.01264763779527559
19 => drift 0.35976168652612284, normalized 0.011605215694391059
20 => drift 0.3606770833333333, normalized 0.012022569444444443
21 => drift 0.3447555369828667, normalized 0.011888121964926439
22 => drift 0.35641130684145844, normalized 0.012728975244337802
23 => drift 0.3330795584316711, normalized 0.012336279941913744
24 => drift 0.28722627737226275, normalized 0.011047164514317798
25 => drift 0.26842751842751844, normalized 0.010737100737100738
26 => drift 0.2690124858115778, normalized 0.011208853575482408
27 => drift 0.24325076537712217, normalized 0.010576120233787921
28 => drift 0.21072261072261073, normalized 0.009578300487391396
29 => drift 0.19300756491515028, normalized 0.009190836424530965
30 => drift 0.1904567699836868, normalized 0.00952283849918434
31 => drift 0.18562168532704773, normalized 0.009769562385634091
32 => drift 0.15950608930987822, normalized 0.008861449406104345
33 => drift 0.15342336683417085, normalized 0.009024903931421815
34 => drift 0.14679313459801266, normalized 0.009174570912375791
35 => drift 0.1292381332269645, normalized 0.0086158755484643
36 => drift 0.10857726344452008, normalized 0.00775551881746572
37 => drift 0.10797769676174136, normalized 0.008305976673980104
38 => drift 0.08677071720549981, normalized 0.007230893100458317
39 => drift 0.08176867430707957, normalized 0.007433515846098143
40 => drift 0.06732700699591328, normalized 0.006732700699591328
41 => drift 0.05905346082145649, normalized 0.006561495646828498
42 => drift 0.05192267061060638, normalized 0.006490333826325798
43 => drift 0.04162256002032434, normalized 0.005946080002903477
44 => drift 0.03311739820200952, normalized 0.005519566367001586
45 => drift 0.02461668657905217, normalized 0.004923337315810434
46 => drift 0.019251668995497594, normalized 0.004812917248874398
47 => drift 0.012965373600624837, normalized 0.004321791200208279
48 => drift 0.008346548702111677, normalized 0.004173274351055838
49 => drift 0.003571261425696522, normalized 0.003571261425696522
