Average number of iterations: 839.926
Median of last 9 normalized drift values: 0.0069755254659792645
0 => drift 0.018246621142109166, normalized 3.649324228421833E-4
1 => drift 0.03555279417348383, normalized 7.255672280302823E-4
2 => drift 0.04973188939123121, normalized 0.0010360810289839835
3 => drift 0.06811145510835913, normalized 0.0014491798959225346
4 => drift 0.08276147168251344, normalized 0.001799162427880727
5 => drift 0.08521369790284046, normalized 0.0018936377311742324
6 => drift 0.11776565464895636, normalized 0.0026764921511126445
7 => drift 0.10912220309810672, normalized 0.0025377256534443423
8 => drift 0.12440682313710401, normalized 0.0029620672175500956
9 => drift 0.12625979843225085, normalized 0.0030795072788353866
10 => drift 0.13343657246096272, normalized 0.003335914311524068
11 => drift 0.13926776740847094, normalized 0.0035709683950889983
12 => drift 0.15418023887079263, normalized 0.004057374707126121
13 => drift 0.15461715412421953, normalized 0.004178842003357284
14 => drift 0.14242083266355893, normalized 0.003956134240654415
15 => drift 0.15569058958778126, normalized 0.004448302559650893
16 => drift 0.14128546612623047, normalized 0.004155454886065602
17 => drift 0.15137401024685607, normalized 0.004587091219601699
18 => drift 0.16171783257842645, normalized 0.005053682268075827
19 => drift 0.15871710526315788, normalized 0.00511990662139219
20 => drift 0.16635577412243513, normalized 0.005545192470747837
21 => drift 0.15156107911488328, normalized 0.005226244107409768
22 => drift 0.16003197442046363, normalized 0.005715427657873701
23 => drift 0.1562398175301401, normalized 0.005786659908523707
24 => drift 0.15025332488917037, normalized 0.00577897403419886
25 => drift 0.14732547597461468, normalized 0.0058930190389845875
26 => drift 0.14902080783353733, normalized 0.006209200326397389
27 => drift 0.1372745490981964, normalized 0.005968458656443321
28 => drift 0.12338930105427567, normalized 0.005608604593376167
29 => drift 0.12768663360040697, normalized 0.006080315885733665
30 => drift 0.11631327368550068, normalized 0.005815663684275034
31 => drift 0.1230422401518747, normalized 0.006475907376414458
32 => drift 0.11298580404933675, normalized 0.006276989113852042
33 => drift 0.11601752101337753, normalized 0.006824560059610443
34 => drift 0.10967155358563473, normalized 0.00685447209910217
35 => drift 0.09731704971631888, normalized 0.0064878033144212584
36 => drift 0.09297115653878466, normalized 0.006640796895627475
37 => drift 0.09012718455485406, normalized 0.00693286035037339
38 => drift 0.07929119712559203, normalized 0.006607599760466002
39 => drift 0.07334818114328137, normalized 0.006668016467571034
40 => drift 0.07082703519758152, normalized 0.0070827035197581515
41 => drift 0.0603559770893638, normalized 0.006706219676595977
42 => drift 0.05147744945567652, normalized 0.006434681181959565
43 => drift 0.046894803548795945, normalized 0.006699257649827992
44 => drift 0.04210304054054054, normalized 0.007017173423423423
45 => drift 0.03493387004025302, normalized 0.006986774008050605
46 => drift 0.027308620311471812, normalized 0.006827155077867953
47 => drift 0.020995547677829123, normalized 0.006998515892609708
48 => drift 0.013951050931958529, normalized 0.0069755254659792645
49 => drift 0.0067231882492709795, normalized 0.0067231882492709795
