Average number of iterations: 253.057
Median of last 9 normalized drift values: 0.01449512369172217
0 => drift 0.023650599348684666, normalized 0.0023650599348684666
1 => drift 0.04037120985331224, normalized 0.00448568998370136
2 => drift 0.05257792800042921, normalized 0.006572241000053651
3 => drift 0.062039823292144185, normalized 0.008862831898877741
4 => drift 0.0605689063266307, normalized 0.010094817721105117
5 => drift 0.06391327480712955, normalized 0.01278265496142591
6 => drift 0.05798049476688868, normalized 0.01449512369172217
7 => drift 0.04832168857184736, normalized 0.01610722952394912
8 => drift 0.03466647723236485, normalized 0.017333238616182425
9 => drift 0.017999779143814187, normalized 0.017999779143814187
