Average number of iterations: 685.933
Median of last 9 normalized drift values: 0.00807163164602464
0 => drift 0.013261825973400277, normalized 5.30473038936011E-4
1 => drift 0.025565855848717744, normalized 0.0010652439936965727
2 => drift 0.03796478951874046, normalized 0.001650643022553933
3 => drift 0.04287201774638961, normalized 0.0019487280793813457
4 => drift 0.05032751091703057, normalized 0.0023965481389062173
5 => drift 0.05408090061254898, normalized 0.002704045030627449
6 => drift 0.06439273190946765, normalized 0.0033890911531298763
7 => drift 0.0741859437159275, normalized 0.004121441317551528
8 => drift 0.06774398419307036, normalized 0.003984940246651198
9 => drift 0.07269684179886479, normalized 0.0045435526124290495
10 => drift 0.06962613482021589, normalized 0.004641742321347726
11 => drift 0.07376678232010861, normalized 0.0052690558800077576
12 => drift 0.07526963390551421, normalized 0.005789971838885708
13 => drift 0.06819448314293675, normalized 0.005682873595244729
14 => drift 0.0693886185741485, normalized 0.006308056234013501
15 => drift 0.06408126756963967, normalized 0.0064081267569639664
16 => drift 0.06087551299589603, normalized 0.006763945888432893
17 => drift 0.05816853215797715, normalized 0.007271066519747143
18 => drift 0.05290656107353022, normalized 0.00755808015336146
19 => drift 0.047337002145322264, normalized 0.007889500357553711
20 => drift 0.0384251968503937, normalized 0.0076850393700787405
21 => drift 0.03228652658409856, normalized 0.00807163164602464
22 => drift 0.02505166591058017, normalized 0.008350555303526724
23 => drift 0.016586481849073107, normalized 0.008293240924536554
24 => drift 0.00878256943276288, normalized 0.00878256943276288
