Average number of iterations: 159899.421
Median of last 9 normalized drift values: 4.004471072041356E-5
0 => drift 1.178595096090126, normalized 0.0014732438701126574
195 => drift NaN, normalized NaN
196 => drift NaN, normalized NaN
197 => drift NaN, normalized NaN
198 => drift NaN, normalized NaN
199 => drift NaN, normalized NaN
200 => drift NaN, normalized NaN
201 => drift NaN, normalized NaN
202 => drift NaN, normalized NaN
203 => drift NaN, normalized NaN
204 => drift NaN, normalized NaN
205 => drift NaN, normalized NaN
206 => drift NaN, normalized NaN
207 => drift NaN, normalized NaN
208 => drift NaN, normalized NaN
209 => drift NaN, normalized NaN
210 => drift NaN, normalized NaN
211 => drift NaN, normalized NaN
212 => drift NaN, normalized NaN
213 => drift NaN, normalized NaN
214 => drift NaN, normalized NaN
215 => drift NaN, normalized NaN
216 => drift NaN, normalized NaN
217 => drift NaN, normalized NaN
218 => drift NaN, normalized NaN
219 => drift NaN, normalized NaN
220 => drift NaN, normalized NaN
221 => drift NaN, normalized NaN
222 => drift NaN, normalized NaN
223 => drift NaN, normalized NaN
224 => drift NaN, normalized NaN
225 => drift NaN, normalized NaN
226 => drift NaN, normalized NaN
227 => drift NaN, normalized NaN
228 => drift NaN, normalized NaN
229 => drift NaN, normalized NaN
230 => drift NaN, normalized NaN
231 => drift NaN, normalized NaN
232 => drift NaN, normalized NaN
233 => drift NaN, normalized NaN
234 => drift 2.0, normalized 0.0035335689045936395
235 => drift 1.0, normalized 0.0017699115044247787
236 => drift 0.18181818181818182, normalized 3.223726627981947E-4
237 => drift 0.5, normalized 8.880994671403197E-4
238 => drift 0.875, normalized 0.0015569395017793594
239 => drift 0.42105263157894735, normalized 7.505394502298527E-4
240 => drift 0.5925925925925926, normalized 0.001058201058201058
241 => drift 0.4791666666666667, normalized 8.57185450208706E-4
242 => drift 0.6078431372549019, normalized 0.0010893246187363833
243 => drift 0.75, normalized 0.0013464991023339318
244 => drift 0.4782608695652174, normalized 8.601814200813263E-4
245 => drift 0.2422680412371134, normalized 4.365189932200241E-4
246 => drift 0.4199134199134199, normalized 7.579664619375811E-4
247 => drift 0.2601880877742947, normalized 4.7050287120125624E-4
248 => drift 0.32525951557093424, normalized 5.892382528458953E-4
249 => drift 0.2980561555075594, normalized 5.409367613567321E-4
250 => drift 0.30796460176991153, normalized 5.599356395816573E-4
251 => drift 0.3006369426751592, normalized 5.476082744538419E-4
252 => drift 0.3110871905274489, normalized 5.676773549770965E-4
253 => drift 0.3034188034188034, normalized 5.546961671276114E-4
254 => drift 0.3020257826887661, normalized 5.531607741552493E-4
255 => drift 0.2897553516819572, normalized 5.316611957467105E-4
256 => drift 0.29767103347889373, normalized 5.471893997773782E-4
257 => drift 0.3018625561978163, normalized 5.559163097565678E-4
258 => drift 0.2885375494071146, normalized 5.323571022271487E-4
259 => drift 0.25530839231547015, normalized 4.7191939429846606E-4
260 => drift 0.26065719360568385, normalized 4.8269850667719233E-4
261 => drift 0.24729102167182662, normalized 4.5879595857481746E-4
262 => drift 0.2568265682656827, normalized 4.7737280346781165E-4
263 => drift 0.2410656270305393, normalized 4.4891178217977524E-4
264 => drift 0.2334855403348554, normalized 4.356073513709989E-4
265 => drift 0.23430094786729858, normalized 4.3794569694822165E-4
266 => drift 0.25570228091236497, normalized 4.788432226823314E-4
267 => drift 0.24420269109647866, normalized 4.581663998057761E-4
268 => drift 0.23206638115631692, normalized 4.3621500217352806E-4
269 => drift 0.23018172241243087, normalized 4.334872361816024E-4
270 => drift 0.2101740294511379, normalized 3.9655477254931675E-4
271 => drift 0.19876306248667094, normalized 3.757335774795292E-4
272 => drift 0.20217530390275112, normalized 3.8290777254308927E-4
273 => drift 0.20438413361169103, normalized 3.878256804775921E-4
274 => drift 0.18011672368685852, normalized 3.424272313438375E-4
275 => drift 0.19155714854639586, normalized 3.648707591359921E-4
276 => drift 0.20247766043866774, normalized 3.8640774892875524E-4
277 => drift 0.1916336913510458, normalized 3.664124117610818E-4
278 => drift 0.17652478348995762, normalized 3.3817008331409504E-4
279 => drift 0.17789022966134682, normalized 3.414399801561359E-4
280 => drift 0.18193524650478293, normalized 3.498754740476595E-4
281 => drift 0.1778771718561844, normalized 3.427305816111453E-4
282 => drift 0.17363510711817554, normalized 3.352029094945474E-4
283 => drift 0.17921883760044852, normalized 3.4665152340512286E-4
284 => drift 0.17138498050517037, normalized 3.321414350875395E-4
285 => drift 0.16015236833388538, normalized 3.1097547249298133E-4
286 => drift 0.1501047590541754, normalized 2.9203260516376536E-4
287 => drift 0.15087010565568676, normalized 2.940937732079664E-4
288 => drift 0.14722222222222223, normalized 2.875434027777778E-4
289 => drift 0.14363454102821138, normalized 2.810852074916074E-4
290 => drift 0.14788216327128828, normalized 2.899650260221339E-4
291 => drift 0.15021847220129578, normalized 2.951246998060821E-4
292 => drift 0.1546103694504812, normalized 3.043511209655142E-4
293 => drift 0.1383376473971815, normalized 2.7285532031002266E-4
294 => drift 0.13835616438356163, normalized 2.7343115490822457E-4
295 => drift 0.13709788761562888, normalized 2.7148096557550274E-4
296 => drift 0.13780337309749074, normalized 2.734193910664499E-4
297 => drift 0.1285055957867018, normalized 2.554783216435423E-4
298 => drift 0.13314636752136752, normalized 2.652318078114891E-4
299 => drift 0.12399852089239492, normalized 2.475020377093711E-4
300 => drift 0.1247492477432297, normalized 2.494984954864594E-4
301 => drift 0.11862338296314376, normalized 2.3772221034698148E-4
302 => drift 0.12318220701454234, normalized 2.473538293464706E-4
303 => drift 0.12231182795698925, normalized 2.461002574587309E-4
304 => drift 0.11846775180516461, normalized 2.388462738007351E-4
305 => drift 0.12595969289827255, normalized 2.5446402605711624E-4
306 => drift 0.1193992801290803, normalized 2.416989476297172E-4
307 => drift 0.11224033951306679, normalized 2.276680314666669E-4
308 => drift 0.11500522223511662, normalized 2.337504516973915E-4
309 => drift 0.11037963572525784, normalized 2.248057754078571E-4
310 => drift 0.10664409648751587, normalized 2.176410132398283E-4
311 => drift 0.1084246722544595, normalized 2.2172734612363904E-4
312 => drift 0.11394538712214855, normalized 2.3349464574210768E-4
313 => drift 0.09578505793048342, normalized 1.9668389718785096E-4
314 => drift 0.1064143007360673, normalized 2.189594665351179E-4
315 => drift 0.10699323235578473, normalized 2.2060460279543244E-4
316 => drift 0.10360542839781244, normalized 2.140608024748191E-4
317 => drift 0.10266491917868065, normalized 2.1255676848588127E-4
318 => drift 0.10847959399450201, normalized 2.2506139832884233E-4
319 => drift 0.0961768219832736, normalized 1.9995181285503867E-4
320 => drift 0.09552941176470588, normalized 1.9901960784313725E-4
321 => drift 0.09571180220204752, normalized 1.9981587098548542E-4
322 => drift 0.09175824175824175, normalized 1.9196284886661454E-4
323 => drift 0.10076670317634173, normalized 2.1125095005522377E-4
324 => drift 0.09253338348692872, normalized 1.9439786446833764E-4
325 => drift 0.09364798059882473, normalized 1.971536433659468E-4
326 => drift 0.09650271180100992, normalized 2.035922189894724E-4
327 => drift 0.08946751959636003, normalized 1.8914909005572945E-4
328 => drift 0.09421471745178932, normalized 1.996074522283672E-4
329 => drift 0.08660436137071652, normalized 1.8387337870640449E-4
330 => drift 0.08833922261484099, normalized 1.8795579279753401E-4
331 => drift 0.08293838862559241, normalized 1.768409139138431E-4
332 => drift 0.08712413261372398, normalized 1.8616267652505125E-4
333 => drift 0.08561434193266287, normalized 1.833283553161946E-4
334 => drift 0.08706187797490264, normalized 1.8682806432382542E-4
335 => drift 0.08202764976958525, normalized 1.764035478915812E-4
336 => drift 0.07917681250490928, normalized 1.7063968212264932E-4
337 => drift 0.07652040030792917, normalized 1.652708429976872E-4
338 => drift 0.08000317788194168, normalized 1.7316705169251445E-4
339 => drift 0.08045789043336059, normalized 1.7452904649319E-4
340 => drift 0.07722954336500153, normalized 1.678903116630468E-4
341 => drift 0.07631039975726314, normalized 1.6625359424240335E-4
342 => drift 0.07463574189711566, normalized 1.6296013514654077E-4
343 => drift 0.07568736484399136, normalized 1.6561786617941217E-4
344 => drift 0.07446567479797599, normalized 1.63301918416614E-4
345 => drift 0.07405545180290188, normalized 1.6275923473165247E-4
346 => drift 0.06909547738693467, normalized 1.521926814690191E-4
347 => drift 0.06493339339725851, normalized 1.4334082427650886E-4
348 => drift 0.07323817352963156, normalized 1.6203135736644151E-4
349 => drift 0.07215822647250597, normalized 1.599960675665321E-4
350 => drift 0.06727889798362947, normalized 1.495086621858433E-4
351 => drift 0.06893230599889928, normalized 1.5352406681269328E-4
352 => drift 0.06845683208701564, normalized 1.528054287656599E-4
353 => drift 0.07252268602540834, normalized 1.6224314547071218E-4
354 => drift 0.06793646427834697, normalized 1.523239109379977E-4
355 => drift 0.06957497545237762, normalized 1.563482594435452E-4
356 => drift 0.06450558787007385, normalized 1.452828555632294E-4
357 => drift 0.06675121820973233, normalized 1.5067995081203685E-4
358 => drift 0.06503496503496503, normalized 1.471379299433598E-4
359 => drift 0.0661123776317554, normalized 1.4991468850738185E-4
360 => drift 0.06335443037974683, normalized 1.439873417721519E-4
361 => drift 0.06622293935726771, normalized 1.5084952017600846E-4
362 => drift 0.062437810945273634, normalized 1.4255207978372975E-4
363 => drift 0.06379737192915635, normalized 1.4598940944887039E-4
364 => drift 0.06215791129285939, normalized 1.4256401672674174E-4
365 => drift 0.06394863563402889, normalized 1.4700835777937675E-4
366 => drift 0.06466556669628125, normalized 1.4899900160433467E-4
367 => drift 0.05952810882388347, normalized 1.3747831137155537E-4
368 => drift 0.060487038491751764, normalized 1.4001629280498094E-4
369 => drift 0.05605594405594406, normalized 1.3006019502539225E-4
370 => drift 0.05805025593299209, normalized 1.3500059519300486E-4
